gene_symbol	gene_id	chrom	pops_score	magma_z	magma_p
RGS8	ENSG00000135824	1	0.1639934318432799	1.9294	0.026841000000000004
LZTR1	ENSG00000099949	22	0.16395635348851334	0.13504000000000002	0.44628999999999996
UBE2E1	ENSG00000170142	3	0.16395545082016424	2.0928	0.018185
ASAP2	ENSG00000151693	2	0.1638718530016429	0.37231	0.35483000000000003
WDR48	ENSG00000114742	3	0.16382408064461124	-0.3303	0.62941
SGCZ	ENSG00000185053	8	0.16372577579767003	3.7828	7.753e-05
SLC25A38	ENSG00000144659	3	0.16371608237363594	0.38581	0.34981999999999996
DERL2	ENSG00000072849	17	0.16366835266549445	3.9671	3.6375e-05
RHBDD3	ENSG00000100263	22	0.1635435937402734	1.224	0.11048
UQCRC2	ENSG00000140740	16	0.16344085380081572	1.8907	0.029335000000000003
PAPD7	ENSG00000112941	5	0.16339035265441518	3.0302	0.001222
CCT8	ENSG00000156261	21	0.16337951665574166	2.5083	0.0060658000000000005
MFN2	ENSG00000116688	1	0.16335273581546292	0.33769	0.3678
WDR43	ENSG00000163811	2	0.16330339219407372	1.0853	0.13889
DENND1B	ENSG00000213047	1	0.16329072443169212	3.1493	0.00081827
MEN1	ENSG00000133895	11	0.16321129072520804	-0.8125600000000001	0.79177
TMX3	ENSG00000166479	18	0.16309542871883445	-0.17984	0.5713600000000001
ACTR5	ENSG00000101442	20	0.16309131002969596	6.8493	3.7114e-12
HBP1	ENSG00000105856	7	0.16299102655306633	0.28668000000000005	0.38718
TIMM9	ENSG00000100575	14	0.1629634611755078	0.33779000000000003	0.36776
UCK1	ENSG00000130717	9	0.1629300151124015	0.5896399999999999	0.27771999999999997
EXOC2	ENSG00000112685	6	0.16290490393199336	1.3847	0.083078
PBX2	ENSG00000204304	6	0.1628752753329996	7.7995	3.1085999999999997e-15
CECR5	ENSG00000069998	22	0.16283855575498346	0.20731999999999998	0.41788000000000003
GAB1	ENSG00000109458	4	0.16283499242626928	0.61626	0.26886
GREB1L	ENSG00000141449	18	0.1628108587489941	0.42632	0.33494
PFDN4	ENSG00000101132	20	0.16274262243719453	0.63989	0.26111999999999996
RNF34	ENSG00000170633	12	0.1627268963835742	2.3464	0.0094766
GMEB1	ENSG00000162419	1	0.16269581562675184	2.6738	0.0037503
PIGZ	ENSG00000119227	3	0.1626691459542074	1.8286	0.033732
C6orf136	ENSG00000204564	6	0.16263626012864096	7.7059	6.4948000000000005e-15
TOMM40L	ENSG00000158882	1	0.16260526696103567	-0.19202	0.57614
PDE9A	ENSG00000160191	21	0.16257937369414868	2.0995	0.017887
PCDHGC3	ENSG00000240184	5	0.16256162585902292	1.9574	0.02515
USP38	ENSG00000170185	4	0.1625482774427736	2.2014	0.013853
ZNF768	ENSG00000169957	16	0.16254087796646813	2.6278	0.004297100000000001
MCM7	ENSG00000166508	7	0.16246622950968342	0.22107	0.41252
RPN2	ENSG00000118705	20	0.16246476630090612	-0.22757	0.59001
TBC1D10B	ENSG00000169221	16	0.16239921039167216	2.7161	0.0033027
NUDCD2	ENSG00000170584	5	0.16233039501998986	0.36632	0.35706
PEX16	ENSG00000121680	11	0.16230524105536742	2.9837	0.0014238
NR1H2	ENSG00000131408	19	0.16227243300566888	0.015394	0.49386
GTF2IRD1	ENSG00000006704	7	0.1622507791161705	2.6842	0.003635
FDFT1	ENSG00000079459	8	0.16224250938905824	0.64386	0.25983
CDH11	ENSG00000140937	16	0.16206547409427824	2.311	0.010416
ARFGEF2	ENSG00000124198	20	0.16201395445113026	2.8639	0.0020925
NCBP1	ENSG00000136937	9	0.1620079632021472	1.1666	0.12168
QSER1	ENSG00000060749	11	0.16200529411045952	-0.066991	0.52671
DDX54	ENSG00000123064	12	0.16194640098913654	1.3621	0.08658500000000001
LRRC3B	ENSG00000179796	3	0.1619313817318385	0.37039	0.35555
ABHD16A	ENSG00000204427	6	0.16188464403948408	3.6825	0.00011546
HSPH1	ENSG00000120694	13	0.16183417717634796	-0.26369000000000004	0.6039899999999999
GABARAP	ENSG00000170296	17	0.16182835058130154	0.15320999999999999	0.43911000000000006
AKT1S1	ENSG00000204673	19	0.16178454191943126	0.53885	0.295
GRIN2C	ENSG00000161509	17	0.1617675936841713	-0.64239	0.73969
C9orf24	ENSG00000164972	9	0.16171097547932287	0.51888	0.30191999999999997
RNF121	ENSG00000137522	11	0.16163169807385772	1.5313	0.062843
CDK8	ENSG00000132964	13	0.16161462201462282	0.1246	0.45042
GPATCH11	ENSG00000152133	2	0.1615046892912853	3.9448	3.9928e-05
IQCE	ENSG00000106012	7	0.16149414127525905	1.4514	0.07333200000000001
TUBG1	ENSG00000131462	17	0.16140562040931009	2.9406	0.0016377
AASDHPPT	ENSG00000149313	11	0.16133994492959933	0.5768300000000001	0.28203
SNX30	ENSG00000148158	9	0.16131219252484574	0.43835	0.33057
TOR3A	ENSG00000186283	1	0.1612763524023799	0.63883	0.26147
GLI3	ENSG00000106571	7	0.16127549956078316	2.9494	0.0015919
BLOC1S6	ENSG00000104164	15	0.16125274884991425	1.651	0.049367
LPHN2	ENSG00000117114	1	0.16118137446546127		
C1QBP	ENSG00000108561	17	0.1611285566081813	2.235	0.012708
COQ4	ENSG00000167113	9	0.16110431443657672	0.62353	0.26647
AACS	ENSG00000081760	12	0.16107831438975356	-0.035606	0.5142
KCNS1	ENSG00000124134	20	0.16103345341027614	3.4246	0.00030784
GOLIM4	ENSG00000173905	3	0.16103105548784905	0.40263000000000004	0.34360999999999997
ARL3	ENSG00000138175	10	0.16086644425231378	4.2713	9.717300000000001e-06
COX20	ENSG00000203667	1	0.16085803041238012	-0.26133	0.6030800000000001
HINFP	ENSG00000172273	11	0.16084888284103704	1.6865	0.045852
IQCB1	ENSG00000173226	3	0.16080346428909975	0.88797	0.18728
NOLC1	ENSG00000166197	10	0.16075878164623356	0.18911	0.425
CCDC124	ENSG00000007080	19	0.16072667628511225	3.5515	0.00019151
CEP57	ENSG00000166037	11	0.1607078000119844	-0.089919	0.53582
ATG2B	ENSG00000066739	14	0.1606964827276845	0.25406999999999996	0.39971999999999996
FAM73A	ENSG00000180488	1	0.16064749239697873	1.0174	0.15449000000000002
FADS2	ENSG00000134824	11	0.16061215164061154	1.9909999999999999	0.023242
SLC39A9	ENSG00000029364	14	0.16057268035506791	-0.11579	0.54609
KCNMB2	ENSG00000197584	3	0.16050924039240513	0.9998	0.1587
NPHP4	ENSG00000131697	1	0.1605015330848217	-1.1172	0.86805
MPDU1	ENSG00000129255	17	0.16041953536305692	1.4974	0.067147
PSMB6	ENSG00000142507	17	0.16041451368377066	1.393	0.081807
SHMT2	ENSG00000182199	12	0.16039140789636194	3.0371	0.0011943
ARL5A	ENSG00000162980	2	0.1603428244542526	2.3141	0.010331
NCAPD3	ENSG00000151503	11	0.16032868368708222	3.9664	3.6479e-05
LYSMD2	ENSG00000140280	15	0.1603157409105796	0.33539	0.36867
CDC5L	ENSG00000096401	6	0.16021707035281418	-0.65045	0.7423
BECN1	ENSG00000126581	17	0.16020695386255046	1.0014	0.15830999999999998
CLK2	ENSG00000176444	1	0.16020201744724086	1.3062	0.095738
LAMTOR1	ENSG00000149357	11	0.1601969457558201	1.999	0.022802
ANKRD46	ENSG00000186106	8	0.16017633351289556	-1.069	0.85746
PYGO2	ENSG00000163348	1	0.16017146208190794	-1.8798	0.96993
ICK	ENSG00000112144	6	0.1601659787182147	0.67228	0.2507
AEBP2	ENSG00000139154	12	0.16013227964656274	0.33446	0.36901
UNC50	ENSG00000115446	2	0.16012838302332907	1.8928	0.029191
RAB12	ENSG00000206418	18	0.1600884430978665	0.93017	0.17614000000000002
DFNA5	ENSG00000105928	7	0.1600854849112584	5.1649	1.2027e-07
OSGEP	ENSG00000092094	14	0.16007258592114046	-0.34424	0.63467
CCDC82	ENSG00000149231	11	0.16006943831740966	0.16399999999999998	0.43487
CCNH	ENSG00000134480	5	0.16006165157010324	0.8295	0.20340999999999998
ZNF444	ENSG00000167685	19	0.1600423354709376	2.1616	0.015324
C11orf24	ENSG00000171067	11	0.16003923654700375	0.31265	0.37727
SACM1L	ENSG00000211456	3	0.1600022283832289	0.46984	0.31924
TTC21B	ENSG00000123607	2	0.15990857628500624	2.2864	0.011114
EXD2	ENSG00000081177	14	0.15986186328062266	0.68507	0.24665
ISCU	ENSG00000136003	12	0.1598168831875527	-0.8084	0.79057
PPIP5K1	ENSG00000168781	15	0.15980051360924372	4.9909	3.0048e-07
UROS	ENSG00000188690	10	0.1596084973622667	2.7433	0.003041
ASB6	ENSG00000148331	9	0.15958636786531286	2.0112	0.022151
MAPK7	ENSG00000166484	17	0.15957886709853047	4.7814	8.705e-07
ACSF3	ENSG00000176715	16	0.1595780792045656	1.9156	0.027708
TP53INP2	ENSG00000078804	20	0.15957358924294912	3.1164	0.00091539
NSUN2	ENSG00000037474	5	0.15956079211018825	3.0736	0.0010574000000000002
IARS	ENSG00000196305	9	0.1595564926305178	1.2262	0.11005
RGS14	ENSG00000169220	5	0.15953074819414706	0.23638	0.40657
ZFPL1	ENSG00000162300	11	0.15946777809666282	-0.8957700000000001	0.81481
MAP1LC3A	ENSG00000101460	20	0.15940429460060393	2.7995	0.0025587
GJC1	ENSG00000182963	17	0.15936450816626568	1.2658	0.1028
MRPL4	ENSG00000105364	19	0.1593282355268631	0.054778	0.47816000000000003
PPRC1	ENSG00000148840	10	0.15931573597578302	1.6749	0.046978
CLTA	ENSG00000122705	9	0.15919716407894632	0.65876	0.25503000000000003
LARP4	ENSG00000161813	12	0.15918182372831965	-0.40371999999999997	0.65679
