dataset,compartment,stratum,age_group,metric,n_donor,point,ci_lo,ci_hi,n_young,n_old,power_at_d_observed,mannwhitney_p
HLMA,MuSC,within_tech_snRNA,young,SASP_high_fraction,3,0.0047619047619047615,0.0,0.014285714285714285,,,,
HLMA,MuSC,within_tech_snRNA,young,senescence_score,3,-0.023654071787021086,-0.052613948753901886,0.01237069500635748,,,,
HLMA,MuSC,within_tech_snRNA,young,regen_score,3,0.302053390651152,0.18191996472222463,0.4649987709677383,,,,
HLMA,MuSC,within_tech_snRNA,young,total_load_caveat,3,-7.799849770047423,-15.394491338543721,-2.228387346726381,,,,
HLMA,MuSC,within_tech_snRNA,old,mean_SASP,9,-0.08752336446967407,-0.0990477501349702,-0.07390811505253642,,,,
HLMA,MuSC,within_tech_snRNA,old,SASP_high_fraction,9,0.033571244736272515,0.012277182219647478,0.0625625241420035,,,,
HLMA,MuSC,within_tech_snRNA,old,senescence_score,9,-0.01387939632673333,-0.0329288403406376,0.002089461886812273,,,,
HLMA,MuSC,within_tech_snRNA,old,regen_score,9,0.23135548718765397,0.1760832745184572,0.27976298184222287,,,,
HLMA,MuSC,within_tech_snRNA,old,total_load_caveat,9,-21.374305689755026,-48.68157752935772,-5.160383472240623,,,,
HLMA,MuSC,within_tech_snRNA,old_vs_young_effect,mean_SASP,12,0.08430963126195634,-1.4840130813356573,1.1120650435798882,3.0,9.0,0.051511698153159355,1.0
HLMA,MuSC,within_tech_snRNA,old_vs_young_effect,SASP_high_fraction,12,0.7736731946284428,0.3841481223508269,1.5667149192658356,3.0,9.0,0.18315229136770772,0.1321289988137562
HLMA,MuSC,within_tech_snRNA,old_vs_young_effect,senescence_score,12,0.33403967210490143,-0.9694443341285801,2.162935072480156,3.0,9.0,0.07400876364303692,0.7272727272727273
HLMA,MuSC,within_tech_snRNA,old_vs_young_effect,regen_score,12,-0.725962412902793,-2.9022583832217967,0.9784914152165664,3.0,9.0,0.16688535125895407,0.8636363636363636
HLMA,MuSC,within_country_China,young,mean_SASP,4,0.009178655658052778,-0.0858050927620826,0.10416240407818816,,,,
HLMA,MuSC,within_country_China,young,SASP_high_fraction,4,0.2447131882927482,0.04753914988814318,0.44188722669735325,,,,
HLMA,MuSC,within_country_China,young,senescence_score,4,0.005336283304284067,-0.004936565127943313,0.011500426465576762,,,,
HLMA,MuSC,within_country_China,young,regen_score,4,0.28397783728232234,0.1828352561720903,0.38849987579822304,,,,
HLMA,MuSC,within_country_China,young,total_load_caveat,4,9.379801770408978,-37.27454908947068,56.03415263028863,,,,
HLMA,MuSC,within_country_China,old,mean_SASP,8,-0.0094060852009984,-0.06650661652124028,0.04776041946967315,,,,
HLMA,MuSC,within_country_China,old,SASP_high_fraction,8,0.21077459629309225,0.09026932621350682,0.34465876874570334,,,,
HLMA,MuSC,within_country_China,old,senescence_score,8,0.010494700692597931,-0.00028141402899243027,0.024053298258339698,,,,
HLMA,MuSC,within_country_China,old,regen_score,8,0.18440698747504797,0.13804733820113702,0.22704308818395147,,,,
HLMA,MuSC,within_country_China,old,total_load_caveat,8,3.1656698808731747,-41.95695118031965,50.32169126893476,,,,
HLMA,MuSC,within_country_China,old_vs_young_effect,mean_SASP,12,-0.1886093689513358,-1.8815423923457268,1.2320652874694735,4.0,8.0,0.05900350061775071,0.9333333333333333
HLMA,MuSC,within_country_China,old_vs_young_effect,SASP_high_fraction,12,-0.1580768027511236,-1.8204691091659,1.2114566528966029,4.0,8.0,0.05631526888969794,1.0
HLMA,MuSC,within_country_China,old_vs_young_effect,senescence_score,12,0.3117214509692536,-1.0630864376493183,1.2035016165826382,4.0,8.0,0.07478865616482791,0.9333333333333333
HLMA,MuSC,within_country_China,old_vs_young_effect,regen_score,12,-1.0576112786515957,-2.883341008525381,0.2736365370648478,4.0,8.0,0.3457041531677046,0.21414141414141416
HLMA,MuSC,within_country_Spain,young,mean_SASP,2,-0.08105456422634372,-0.08252386606960241,-0.07958526238308504,,,,
HLMA,MuSC,within_country_Spain,young,SASP_high_fraction,2,0.007142857142857143,0.0,0.014285714285714285,,,,
HLMA,MuSC,within_country_Spain,young,senescence_score,2,-0.04166645518371037,-0.05261394875390189,-0.03071896161351885,,,,
