compartment,tf,n_donors,regulon_size_raw,regulon_size_after_sasp12,regulon_size_after_senmayo,n_sasp_removed,n_senmayo_removed,raw_aucell_rho,clean12_aucell_rho,clean_senmayo_aucell_rho,mrna_rho,delta_clean12,delta_clean_senmayo,size_matched_null_ci_low,size_matched_null_ci_high,size_matched_null_n,size_matched_null_median_delta,age_shuffle_p_empirical,fisher_z_ci_low,fisher_z_ci_high,mrna_fz_ci_low,mrna_fz_ci_high,classification,flag_underpowered,flag_note,reclass
HLMA_MuSC,EGR1,23,184,184,183,0,1,0.8907756279666743,0.8907756279666743,0.8907756279666743,0.9171114047251756,-0.0263357767585014,-0.0263357767585014,-0.0541414819793117,-0.0009878972670305,100,-0.0223635331555285,0.0,0.7562548415525299,0.9530406643600794,0.8117972646675716,0.9646440585988558,driver,False,,driver
HLMA_MuSC,EGR2,23,24,24,24,0,0,-0.7726013807782305,-0.7726013807782305,-0.7726013807782305,0.8004745473491002,-1.5730759281273308,-1.5730759281273308,-1.5994665215645818,-0.2423743211314078,100,-1.498099830121217,0.0,-0.8986214178269323,-0.5288074351997064,0.5794741145858898,0.911816249744392,driver,False,,polarity-flip
HLMA_MuSC,IRF1,23,51,50,50,1,1,0.5610794089199231,0.4796484150589785,0.4796484150589785,0.6826995328456661,-0.2030511177866875,-0.2030511177866875,-0.2963988424565508,-0.0184162698160033,100,-0.1216201239257429,0.0165,0.084067378437291,0.7446285096787327,0.3764280665503595,0.8544505738845438,inconclusive,False,,inconclusive
HLMA_MuSC,KLF10,23,44,44,44,0,0,0.9354633685001196,0.9354633685001196,0.9354633685001196,0.9015841226134989,0.0338792458866207,0.0338792458866207,-0.335340797009711,0.0636710729089174,100,-0.0033605378912503,0.0,0.8516621470661976,0.9726223364958974,0.7788178807080463,0.957825047344487,driver,False,,driver
HLMA_MuSC,CDKN1A,23,0,0,0,0,0,,,,0.9286561776286424,,,,,0,,,,,0.8367612804766306,0.969673183011478,UNDERPOWERED,True,"regulon_too_small(sasp=0,sen=0)",UNDERPOWERED
HLMA_MuSC,NFKB1,23,101,101,99,0,2,-0.7706152589767439,-0.7706152589767439,-0.7706152589767439,0.65209262986856,-1.422707888845304,-1.422707888845304,-1.5023513730849107,-1.265829093050393,100,-1.4261836019979053,0.0,-0.8976724285315669,-0.525262267300391,0.328075062255169,0.8388239581595305,driver,False,,polarity-flip
HLMA_MuSC,RELA,23,45,44,44,1,1,-0.7676360762745142,-0.7696221980760006,-0.7696221980760006,0.8224450718507583,-1.5920672699267588,-1.5920672699267588,-1.6145849258511118,-1.4768722054405448,100,-1.5900811481252726,0.0,-0.897197491525927,-0.5234928715549064,0.6206525968832314,0.922057254252305,driver,False,,polarity-flip
HLMA_MuSC,RELB,23,43,42,41,1,2,0.499509633073843,0.3028835747266841,0.2591888950939822,0.6421282473280585,-0.3392446726013743,-0.3829393522340763,-0.3349993372506971,0.000382155452809,100,-0.1446047360557019,0.1685,-0.1249140263948237,0.6357169541993801,0.31269128254928,0.8336692843546288,inconclusive,False,,inconclusive
HLMA_MuSC,STAT3,23,151,148,147,3,4,0.757705467267082,0.757705467267082,0.7447956755574201,0.839966878413008,-0.082261411145926,-0.0951712028555878,-0.1265271007965553,-0.0544060528800785,100,-0.0763030457414667,0.0,0.5024244289407036,0.8914751372196927,0.6543107555992991,0.9301258409788812,driver,False,,driver
HLMA_FAP,JUNB,16,175,175,173,0,2,-0.35,-0.35,-0.35,0.2264705882352941,-0.5764705882352942,-0.5764705882352942,-0.6030882352941176,-0.5647058823529412,100,-0.5764705882352942,0.181,-0.720671145131449,0.1762913215093855,-0.3032819898474512,0.6492854004536205,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,JUN,16,195,195,195,0,0,-0.3735294117647059,-0.3735294117647059,-0.3735294117647059,0.0411764705882353,-0.4147058823529412,-0.4147058823529412,-0.4544852941176471,-0.3969117647058824,100,-0.4294117647058824,0.1665,-0.7334320766939683,0.149938633431781,-0.4639997416758856,0.5261424975760952,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,JUND,16,150,150,149,0,1,-0.5764705882352941,-0.5764705882352941,-0.5764705882352941,0.0999999999999999,-0.676470588235294,-0.676470588235294,-0.7088235294117646,-0.6264705882352941,100,-0.6705882352941177,0.02,-0.8338852500327156,-0.1130785264663385,-0.4163437094024732,0.5675705549114891,inconclusive,False,,inconclusive
HLMA_FAP,FOS,16,200,200,197,0,3,-0.4647058823529412,-0.4647058823529412,-0.4647058823529412,0.1558823529411764,-0.6205882352941177,-0.6205882352941177,-0.6235294117647059,-0.5794117647058824,100,-0.6205882352941177,0.0765,-0.7805954447166117,0.0402777064543449,-0.3682806539429933,0.6048498951506658,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,FOSB,16,200,200,197,0,3,-0.5235294117647059,-0.5235294117647059,-0.5235294117647059,0.1705882352941176,-0.6941176470588235,-0.6941176470588235,-0.7294117647058824,-0.6676470588235294,100,-0.6941176470588235,0.0355,-0.8092271021988902,-0.0375755505253829,-0.3551490281656451,0.6143437386354585,inconclusive,False,,inconclusive
HLMA_FAP,FOSL1,16,68,68,68,0,0,-0.4205882352941176,-0.4205882352941176,-0.4205882352941176,0.3294117647058824,-0.75,-0.75,-0.767794117647059,-0.6086764705882354,100,-0.7044117647058824,0.1155,-0.7582149711811595,0.0949032716952286,-0.1987472327919434,0.7092954176924002,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,FOSL2,16,75,75,75,0,0,-0.3705882352941176,-0.3705882352941176,-0.3705882352941176,0.088235294117647,-0.4588235294117647,-0.4588235294117647,-0.5427205882352941,-0.2684558823529414,100,-0.4176470588235295,0.159,-0.7318507130926247,0.1532739035067317,-0.4261074228147152,0.5594701248726807,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,ATF3,16,93,93,92,0,1,-0.4352941176470588,-0.4352941176470588,-0.4617647058823529,0.4852941176470588,-0.9205882352941176,-0.9470588235294116,-1.042720588235294,-0.7647058823529411,100,-0.8941176470588235,0.09,-0.7657645910144553,0.0770332666691969,-0.013709116806655,0.790769627861886,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,ATF6,16,75,75,75,0,0,-0.1647058823529412,-0.1647058823529412,-0.1647058823529412,0.3705882352941176,-0.5352941176470589,-0.5352941176470589,-0.6368382352941176,-0.4322058823529412,100,-0.5411764705882354,0.5565,-0.6105615574148084,0.3604266954113709,-0.1532739035067317,0.7318507130926247,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,CEBPB,16,96,95,94,1,2,0.0147058823529411,0.0264705882352941,0.0529411764705882,0.7529411764705882,-0.7264705882352941,-0.7,-0.788235294117647,-0.6735294117647058,100,-0.7382352941176471,0.9205,-0.4754737231434816,0.5154128705212094,0.4104196129287601,0.9092724328870768,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,CEBPD,16,106,106,104,0,2,-0.3294117647058824,-0.3294117647058824,-0.3647058823529411,0.2705882352941176,-0.6000000000000001,-0.6352941176470588,-0.6721323529411765,-0.4866911764705882,100,-0.5779411764705882,0.2125,-0.7092954176924002,0.1987472327919434,-0.259990093685252,0.6756652175954866,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,EGR1,16,200,199,198,1,2,-0.4676470588235294,-0.4676470588235294,-0.4647058823529412,0.1588235294117647,-0.6264705882352941,-0.6235294117647059,-0.6264705882352941,-0.5936764705882355,100,-0.6264705882352941,0.0695,-0.7820592211674146,0.0365254152275705,-0.3656709539566301,0.6067589289693126,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,EGR2,16,125,125,125,0,0,0.3147058823529411,0.3147058823529411,0.3147058823529411,0.7411764705882353,-0.4264705882352942,-0.4264705882352942,-0.6163970588235295,-0.3705882352941176,100,-0.4705882352941176,0.23,-0.2144546731116969,0.7010469225622395,0.3880384605822076,0.9045467039434968,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,IRF1,16,82,81,81,1,1,0.188235294117647,0.188235294117647,0.188235294117647,0.4941176470588235,-0.3058823529411764,-0.3058823529411764,-0.3117647058823529,-0.2910294117647058,100,-0.3058823529411764,0.4955,-0.3391123509584288,0.625569234963316,-0.002102714927864,0.7950789274417063,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,KLF10,16,81,80,78,1,3,-0.2235294117647058,-0.2176470588235294,-0.3029411764705882,0.8617647058823529,-1.0794117647058823,-1.164705882352941,-1.1733088235294118,-1.029264705882353,100,-1.0852941176470587,0.4005,-0.6438844621309088,0.3116856656507741,0.6390493413886603,0.9511545455139402,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,CDKN1A,16,0,0,0,0,0,,,,0.4676470588235294,,,,,0,,,,,-0.0365254152275705,0.7820592211674146,UNDERPOWERED,True,"regulon_too_small(sasp=0,sen=0)",UNDERPOWERED
HLMA_FAP,NFKB1,16,94,94,94,0,0,-0.1147058823529411,-0.1147058823529411,-0.1147058823529411,-0.1941176470588235,0.0794117647058823,0.0794117647058823,-0.019485294117647,0.1162499999999999,100,0.0617647058823529,0.667,-0.5775703772926196,0.4039692682185206,-0.6292712545961002,0.3336978048446805,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,RELA,16,66,66,66,0,0,0.0235294117647058,0.0235294117647058,0.0235294117647058,0.3411764705882353,-0.3176470588235294,-0.3176470588235294,-0.46,0.045955882352941,100,-0.2426470588235294,0.924,-0.4777482082504455,0.5132483895360976,-0.1859828329382758,0.7158201524356975,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,RELB,16,51,51,51,0,0,-0.1352941176470588,-0.1352941176470588,-0.1352941176470588,-0.0088235294117647,-0.1264705882352941,-0.1264705882352941,-0.3515441176470588,0.1580147058823527,100,-0.1,0.6235,-0.5913405904372089,0.3863201663279094,-0.5023317252920709,0.4890207137133819,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
HLMA_FAP,STAT3,16,163,163,163,0,0,-0.3647058823529411,-0.3647058823529411,-0.3647058823529411,-0.0323529411764705,-0.3323529411764706,-0.3323529411764706,-0.4267647058823529,-0.2102205882352941,100,-0.3264705882352941,0.14,-0.7286762705140939,0.1599088289060285,-0.5197231970386745,0.4709045320294709,UNDERPOWERED,True,fisher_z_ci_crosses_threshold_at_low_N,UNDERPOWERED
