tf,rho,pvalue,ci_low,ci_high,n_donors,qvalue,significant
FOXO4,0.0979020979020979,0.762121655996299,,,12,0.9547458108085504,False
GATA6,0.0979020979020979,0.762121655996299,,,12,0.9547458108085504,False
KLF2,0.0979020979020979,0.762121655996299,,,12,0.9547458108085504,False
ELK3,0.07692307692307693,0.8121826980280591,,,12,0.954813119010701,False
SP1,0.06993006993006995,0.8290236405313092,,,12,0.954813119010701,False
KLF13,0.06993006993006995,0.8290236405313092,,,12,0.954813119010701,False
IRF9,0.06293706293706294,0.8459309212287789,,,12,0.954813119010701,False
KLF9,0.04895104895104895,0.8799185788786749,,,12,0.9834384116879307,False
CEBPB,0.034965034965034975,0.9140933424107598,,,12,0.9919069144675554,False
CREB1,0.034965034965034975,0.9140933424107598,,,12,0.9919069144675554,False
ZFP36L1,0.027972027972027972,0.9312343512018808,,,12,0.9919069144675554,False
SP4,0.02097902097902098,0.9484022252365223,,,12,0.9919069144675554,False
IRF4,-0.010751134472528774,0.9735462071621488,,,12,1.0,False
RXRA,-0.02097902097902098,0.9484022252365223,,,12,0.9919069144675554,False
YY2,-0.02097902097902098,0.9484022252365223,,,12,0.9919069144675554,False
FOXO3,-0.04195804195804196,0.8969858708195542,,,12,0.9919069144675554,False
IRF7,-0.06293706293706294,0.8459309212287789,,,12,0.954813119010701,False
KLF3,-0.06293706293706294,0.8459309212287789,,,12,0.954813119010701,False
GATA5,-0.06656735199784074,0.8371459389976224,,,12,0.954813119010701,False
ETS1,-0.06993006993006995,0.8290236405313092,,,12,0.954813119010701,False
KLF6,-0.07692307692307693,0.8121826980280591,,,12,0.954813119010701,False
STAT1,-0.09090909090909093,0.7787253962454419,,,12,0.954813119010701,False
MXI1,-0.10489510489510491,0.7456094809807079,,,12,0.9547458108085504,False
SP3,-0.1188811188811189,0.712884219214772,,,12,0.9547458108085504,False
PPARG,-0.1328671328671329,0.6805975082860818,,,12,0.9547458108085504,False
CEBPG,-0.1398601398601399,0.6646331617926677,,,12,0.9547458108085504,False
GATA2,-0.15384615384615385,0.6330906812462618,,,12,0.9547458108085504,False
FOXO6,-0.16677617027676858,0.6044191985316112,,,12,0.9438875155151188,False
NR1H3,-0.18181818181818185,0.5717012385276553,,,12,0.9310563027450386,False
MYCL,-0.1871519268441976,0.5602730995760044,,,12,0.9310563027450386,False
SP2,-0.21678321678321683,0.49855598552418856,,,12,0.9166997153186692,False
GATA3,-0.2377622377622378,0.4568008526399232,,,12,0.9136017052798464,False
USF1,-0.2377622377622378,0.4568008526399232,,,12,0.9136017052798464,False
ATF1,-0.25874125874125875,0.41677476889913834,,,12,0.8964589368773919,False
KLF15,-0.2797202797202798,0.37856866966230307,,,12,0.8462123204216186,False
MAX,-0.2797202797202798,0.37856866966230307,,,12,0.8462123204216186,False
ATF6B,-0.30069930069930073,0.34225952894002465,,,12,0.8462123204216186,False
KLF14,-0.4803844614152615,0.11393741215192033,,,12,0.4810690735303303,False
IRF2,-0.49650349650349657,0.10060263183225483,,,12,0.44110384726450197,False
CEBPE,,,,,12,1.0,False
GATA1,,,,,12,1.0,False
GATA4,,,,,12,1.0,False
NR1H4,,,,,12,1.0,False
