dataset,compartment,note,tf,n_donors,detected_sasp_genes,rho,p_value,ci_95_low,ci_95_high,rank_in_dataset
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),KLF4,12,12,0.217,0.49855598552418856,-0.408,0.703,13
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),KLF6,12,12,0.224,0.48445166145539886,-0.402,0.707,12
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),KLF10,12,12,0.748,0.005124081698753058,0.306,0.925,1
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),ATF3,12,12,0.49,0.106252371759346,-0.117,0.83,6
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),EGR1,12,12,0.671,0.016831456186893395,0.158,0.899,3
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),EGR2,12,12,0.406,0.19083587400450033,-0.219,0.795,9
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),IRF1,12,12,0.72,0.008239768712338441,0.25,0.916,2
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),CEBPB,12,12,-0.133,0.6805975082860818,-0.657,0.477,17
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),CEBPD,12,12,-0.196,0.5419358857313175,-0.692,0.426,14
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),RELA,12,12,0.168,0.602099427786538,-0.449,0.677,15
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),NFKB1,12,12,-0.112,0.729194990751066,-0.644,0.494,18
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),STAT3,12,12,0.35,0.2652387868927897,-0.281,0.769,11
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),CDKN1A,12,12,0.371,0.2356210035126457,-0.258,0.779,10
