ligand,receptor,pathway,function,ligand_mean_vasc,ligand_std_vasc,receptor_mean_fap,receptor_std_fap,interaction_score,rho_age,p_age,n_age,rho_junb,p_junb,n_junb,rho_sasp,p_sasp,n_sasp,fdr_age
CXCL8,CXCR2,CXCL,neutrophil chemotaxis,0.015380257740616798,0.03140780329704285,-0.0201179888099432,0.007214998360723257,-0.0003094198473263532,-0.20225646672573203,0.354700414961837,23,0.7973954383180469,5.215579237943426e-06,23,0.7714186093126401,1.6352885714323013e-05,23,0.6736690659409049
CXCL8,CXCR1,CXCL,neutrophil chemotaxis,0.015380257740616798,0.03140780329704285,-0.0032553563360124826,0.008332970552146435,-5.006821811548434e-05,-0.20225646672573203,0.354700414961837,23,0.7973954383180469,5.215579237943426e-06,23,0.7714186093126401,1.6352885714323013e-05,23,0.6736690659409049
JAG1,NOTCH1,Notch,EC arterial spec,0.22710275650024414,0.11955294013023376,-0.06382719427347183,0.05713315308094025,-0.014495331794023514,-0.27425796345109754,0.20537096243668346,23,0.5413587675367735,0.007635750890032965,23,0.6729249011857709,0.0004339408833872341,23,0.6736690659409049
JAG1,NOTCH2,Notch,mesenchymal Notch,0.22710275650024414,0.11955294013023376,-0.507834792137146,0.1780577450990677,-0.11533068120479584,-0.27425796345109754,0.20537096243668346,23,0.5413587675367735,0.007635750890032965,23,0.6729249011857709,0.0004339408833872341,23,0.6736690659409049
TGFB2,TGFBR2,TGF-beta,"fibrosis, SMAD",0.02470429800450802,0.01853213831782341,-0.30516231060028076,0.6390344500541687,-0.007538820616900921,-0.33820303329860785,0.11446524977765854,23,0.23012194912875322,0.2908124547738972,23,0.2891030481142063,0.18091256348047907,23,0.509890658100479
TGFB2,TGFBR1,TGF-beta,"fibrosis, SMAD",0.02470429800450802,0.01853213831782341,-0.2309523969888687,0.15726913511753082,-0.0057055167853832245,-0.33820303329860785,0.11446524977765854,23,0.23012194912875322,0.2908124547738972,23,0.2891030481142063,0.18091256348047907,23,0.509890658100479
VEGFB,KDR,VEGF,"angiogenesis, metabolic",0.05403006076812744,0.030720500275492668,-0.07345076650381088,0.05288539454340935,-0.0039685494266450405,-0.4792088603261055,0.020688499897027163,23,0.30658835965714804,0.15476936213190653,23,0.5484189723320158,0.0067373110020978195,23,0.17672523394201264
FGF1,FGFR1,FGF,broad FGFR1 activation,0.06560676544904709,0.030107658356428146,-0.263175368309021,1.0222316980361938,-0.017266085371375084,-0.4900999707880624,0.01759424681639413,23,0.18672667462155865,0.39359809877292873,23,0.4150197628458498,0.04892780301542656,23,0.17672523394201264
FGF1,FGFR2,FGF,broad FGFR2 activation,0.06560676544904709,0.030107658356428146,-0.07515596598386765,0.02470541186630726,-0.0049307397566735744,-0.4900999707880624,0.01759424681639413,23,0.18672667462155865,0.39359809877292873,23,0.4150197628458498,0.04892780301542656,23,0.17672523394201264
SEMA3F,NRP2,SEMA,anti-angiogenesis,0.0780472531914711,0.04373718053102493,-0.08355693519115448,0.041360098868608475,-0.006521389354020357,-0.5000009802989324,0.015117686138412585,23,-0.13026290563785126,0.5535734873024449,23,0.03162055335968379,0.8861121989269578,23,0.17672523394201264
SEMA3C,NRP1,SEMA,angiogenesis,0.028952881693840027,0.01978987082839012,-0.442857950925827,0.40564852952957153,-0.012822014279663563,-0.550496128804369,0.006490388606763947,23,-0.1396735338018025,0.5250220070870326,23,0.03656126482213439,0.8684573099373571,23,0.17672523394201264
