gene,d,log2fc,p_raw,is_surface,mean_junb_plus,mean_junb_minus,p_bh
FBXL16,1.1821,0.0074,0.007549,False,-0.0013,-0.0088,0.0209
FBXL17,-2.6903,-0.3651,4.1e-05,False,-0.1323,0.2328,0.001651
FBXL18,-0.4284,-0.0558,0.234714,False,-0.0086,0.0472,0.318595
FBXL19,-0.8019,-0.0832,0.042792,False,-0.0059,0.0773,0.080791
FBXL19-AS1,0.6651,0.028,0.081115,False,-0.005,-0.033,0.134762
FBXL2,-2.1043,-0.1897,0.00023,False,-0.0753,0.1144,0.002386
FBXL20,-2.7062,-0.2497,3.9e-05,False,-0.0718,0.1778,0.001649
FBXL21P,-0.4382,-0.0165,0.225115,False,-0.0322,-0.0157,0.30803
FBXL22,0.1293,0.0032,0.708114,False,-0.025,-0.0282,0.76944
FBXL3,0.5331,0.0642,0.148438,False,0.0331,-0.0312,0.220009
FBXL4,-1.0248,-0.1194,0.015249,False,-0.0348,0.0846,0.035699
FBXL5,0.385,0.0242,0.281446,False,-0.0311,-0.0553,0.369209
FBXL6,0.0002,0.0,0.999606,False,0.0309,0.0309,0.999632
FBXL7,-1.6618,-0.4249,0.001072,False,-0.0641,0.3607,0.005324
FBXL8,-0.0131,-0.0015,0.969535,False,0.0247,0.0262,0.976866
FBXO10,-1.3268,-0.1407,0.004059,False,-0.0362,0.1045,0.013305
FBXO11,-0.9982,-0.2068,0.017216,False,-0.0386,0.1681,0.039217
FBXO15,-1.3865,-0.0601,0.003168,False,-0.0724,-0.0122,0.011127
FBXO16,-0.4707,-0.0994,0.195644,False,0.0241,0.1235,0.275331
FBXO17,0.2638,0.0273,0.451567,False,0.0931,0.0659,0.539306
FBXO2,-0.1039,-0.0054,0.763344,False,-0.0206,-0.0152,0.815197
FBXO21,0.8451,0.0681,0.034962,False,-0.0099,-0.078,0.06882
FBXO22,-0.6951,-0.0895,0.070547,False,-0.0497,0.0398,0.120501
FBXO24,-0.73,-0.0604,0.059933,False,-0.0611,-0.0008,0.105746
FBXO25,-0.2809,-0.0222,0.423914,False,-0.0487,-0.0264,0.512748
FBXO27,-0.2419,-0.0188,0.488747,False,-0.0387,-0.0199,0.574958
FBXO28,-1.0737,-0.1185,0.012219,False,-0.0163,0.1022,0.030126
FBXO3,1.6212,0.0735,0.00125,False,0.0121,-0.0614,0.005884
FBXO30,0.2682,0.0247,0.444315,False,-0.0469,-0.0716,0.532421
FBXO31,-0.7548,-0.0642,0.053343,False,-0.0115,0.0527,0.096346
FBXO32,-1.0919,-0.1235,0.011259,False,-0.1501,-0.0266,0.028296
FBXO33,0.0299,0.0038,0.930794,False,0.0645,0.0607,0.946578
FBXO34,-0.9552,-0.0834,0.020973,False,-0.0394,0.044,0.045759
FBXO36,-0.8677,-0.0839,0.031465,False,-0.0215,0.0624,0.063246
FBXO36-IT1,-1.4499,-0.0189,0.002447,False,-0.0305,-0.0115,0.009314
FBXO38,-0.9797,-0.0813,0.018732,False,-0.0356,0.0458,0.041903
FBXO39,0.1948,0.0084,0.575048,False,-0.0244,-0.0329,0.653073
FBXO4,-0.1105,-0.0098,0.748729,False,-0.0302,-0.0204,0.803581
FBXO40,-2.0799,-0.2127,0.000248,False,-0.2612,-0.0486,0.00245
FBXO41,0.1508,0.0106,0.662903,False,0.0078,-0.0029,0.730465
FBXO42,-1.6428,-0.2142,0.001152,False,-0.0427,0.1716,0.005571
FBXO43,0.1583,0.0061,0.647521,False,-0.0193,-0.0254,0.717422
FBXO44,-0.0877,-0.0076,0.799147,False,0.0058,0.0134,0.844283
FBXO45,-0.1015,-0.0077,0.768483,False,-0.0324,-0.0247,0.819367
FBXO46,-0.6117,-0.0275,0.103827,False,-0.0033,0.0243,0.164631
FBXO47,-1.7792,-0.0435,0.000696,False,-0.063,-0.0194,0.00408
FBXO48,0.3026,0.0304,0.390532,False,-0.0007,-0.0311,0.480308
FBXO5,0.7484,0.0421,0.054977,False,0.0107,-0.0314,0.09862
FBXO6,0.7773,0.0696,0.048011,False,0.0181,-0.0516,0.088524
FBXO7,0.4835,0.0339,0.184941,False,-0.0012,-0.0351,0.26275
FBXO8,1.4583,0.0844,0.002365,False,0.0177,-0.0667,0.009099
FBXO9,0.3191,0.0369,0.366481,False,0.0025,-0.0344,0.456365
FBXW10,-0.8108,-0.0228,0.041053,False,-0.0318,-0.009,0.078214
FBXW11,-1.2839,-0.083,0.004867,False,-0.0022,0.0807,0.015125
FBXW11P1,0.5455,0.0082,0.140371,False,-0.0113,-0.0195,0.210151
FBXW12,-0.0513,-0.0034,0.881398,False,-0.0201,-0.0167,0.909147
FBXW2,0.7485,0.0619,0.054947,False,0.0283,-0.0336,0.09858
FBXW4,-2.938,-0.178,2.2e-05,False,-0.1024,0.0757,0.001479
FBXW4P1,-0.6526,-0.0628,0.085967,False,-0.0295,0.0333,0.141334
FBXW5,1.8933,0.0798,0.000465,False,0.0042,-0.0755,0.00326
FBXW7,-2.2251,-0.1562,0.000157,False,-0.0395,0.1167,0.002132
FBXW7-AS1,-2.8049,-0.0039,3e-05,False,-0.0131,-0.0092,0.00159
FBXW8,-1.0383,-0.2032,0.014337,False,-0.0857,0.1174,0.034059
FBXW9,0.2126,0.0139,0.541491,False,-0.0019,-0.0158,0.623022
FCAMR,-1.7251,-0.0058,0.000848,False,-0.0176,-0.0118,0.004587
FCAR,-0.456,-0.0153,0.208493,False,-0.0316,-0.0163,0.289468
FCER1A,0.3692,0.0092,0.300167,False,-0.0148,-0.024,0.388541
FCER1G,0.7422,0.0331,0.056601,False,-0.0098,-0.0429,0.101021
FCER2,0.3342,0.0128,0.345369,False,-0.0042,-0.0171,0.434998
FCF1,0.5519,0.0436,0.136398,False,0.0295,-0.0141,0.205357
FCF1P1,-2.7892,-0.0087,3.2e-05,False,-0.0198,-0.0111,0.001628
FCF1P2,0.1812,0.0067,0.601496,False,-0.0159,-0.0226,0.676697
FCF1P3,1.9069,0.0112,0.000444,False,0.0038,-0.0073,0.003182
FCF1P5,3.9649,0.0073,2e-06,False,-0.0024,-0.0098,0.000578
FCF1P7,-1.149,-0.0072,0.008733,False,-0.0262,-0.019,0.023328
FCGBP,-0.8743,-0.0673,0.03052,False,-0.0493,0.018,0.061674
FCGR1A,1.705,0.0182,0.000913,False,-0.0094,-0.0276,0.004807
FCGR1B,0.3606,0.0104,0.310881,False,-0.0114,-0.0217,0.399948
FCGR1CP,3.5433,0.0115,5e-06,False,-0.002,-0.0135,0.000868
FCGR2A,0.2504,0.018,0.47401,False,0.0046,-0.0134,0.56104
FCGR2B,0.9115,0.0276,0.025671,False,-0.0112,-0.0387,0.05372
FCGR2C,-0.7221,-0.0062,0.062172,False,-0.0273,-0.021,0.108924
FCGR3A,0.3886,0.0159,0.27733,False,-0.0065,-0.0224,0.364948
FCGR3B,0.3964,0.0152,0.26845,False,-0.003,-0.0182,0.355488
FCGRT,1.8777,0.2134,0.000491,False,-0.0243,-0.2377,0.003351
FCHO1,-0.6963,-0.0452,0.070135,False,-0.0544,-0.0092,0.119938
FCHO2,-1.7988,-0.1131,0.000649,False,-0.0807,0.0324,0.003913
FCHSD1,-0.0114,-0.0006,0.973502,False,0.0436,0.0443,0.979768
FCHSD2,-1.7152,-0.2652,0.000879,False,-0.0722,0.193,0.004697
FCMR,-0.3239,-0.0034,0.359621,False,-0.0289,-0.0255,0.449256
FCN1,-0.4507,-0.0081,0.213358,False,-0.0264,-0.0183,0.294875
FCN3,0.619,0.0266,0.100375,False,0.0043,-0.0223,0.160272
FCRL1,-1.9735,-0.0353,0.000353,False,-0.0482,-0.0129,0.002864
FCRL2,-1.8993,-0.0233,0.000455,False,-0.0358,-0.0125,0.003222
FCRL3,-1.0399,-0.0194,0.014235,False,-0.0328,-0.0134,0.03387
FCRL4,-1.7112,-0.0123,0.000892,False,-0.0238,-0.0115,0.004741
FCRL5,-1.2858,-0.03,0.004826,False,-0.0454,-0.0153,0.015039
FCRL6,0.1878,0.0041,0.588511,False,-0.0191,-0.0232,0.665467
FCRLA,1.5605,0.0074,0.001579,False,-0.0086,-0.016,0.006862
FCRLB,0.249,0.0036,0.476513,False,-0.0202,-0.0237,0.563509
FCSK,-0.5629,-0.0555,0.129759,False,-0.0121,0.0434,0.197142
FDCSP,1.1182,0.0055,0.010013,False,-0.0065,-0.012,0.025862
FDFT1,0.1414,0.0093,0.682575,False,0.0046,-0.0047,0.747766
FDPS,0.3164,0.0332,0.370349,False,-0.03,-0.0631,0.460257
FDPSP1,2.1961,0.0095,0.000171,False,-0.0027,-0.0123,0.002171
FDPSP3,1.2596,0.0067,0.005398,False,0.0001,-0.0066,0.016302
FDPSP4,0.22,0.0058,0.527792,False,-0.0183,-0.0241,0.61091
FDPSP5,0.9936,0.048,0.017577,False,0.0099,-0.0381,0.039857
FDX1,1.0001,0.109,0.017064,False,0.0438,-0.0653,0.038957
FDX1P1,0.4963,0.0119,0.174873,False,-0.0133,-0.0251,0.251
FDX2,0.3831,0.0357,0.283627,False,0.0288,-0.0069,0.371516
FDXACB1,0.4682,0.0238,0.197731,False,0.0018,-0.0221,0.277638
FDXR,0.6598,0.0295,0.083112,False,0.0166,-0.0129,0.137446
FECH,0.7159,0.0493,0.064017,False,0.0236,-0.0257,0.11145
FEM1A,-0.4985,-0.0376,0.17317,False,-0.0838,-0.0463,0.249075
FEM1B,0.9056,0.0938,0.026379,False,0.0359,-0.0579,0.054843
FEM1C,1.3449,0.119,0.003763,False,0.0539,-0.065,0.012588
FEN1,1.5487,0.0675,0.001653,False,0.0178,-0.0496,0.007085
FENDRR,-0.375,-0.0042,0.293208,False,-0.018,-0.0138,0.38153
FER,-1.9668,-0.1965,0.000362,False,-0.0499,0.1466,0.002895
FER1L4,-0.8514,-0.0748,0.03395,False,-0.0294,0.0454,0.067227
FER1L5,-1.8769,-0.1588,0.000492,False,-0.0848,0.074,0.003356
FER1L6,-0.6137,-0.0443,0.102891,False,-0.0439,0.0004,0.163396
FER1L6-AS1,-2.0147,-0.0386,0.000308,False,-0.0527,-0.0141,0.002704
FER1L6-AS2,-0.3042,-0.0234,0.38817,False,-0.0311,-0.0077,0.477854
FERMT1,-0.3775,-0.0347,0.29027,False,0.0013,0.0361,0.378514
FERMT2,1.8246,0.1796,0.000592,False,0.1202,-0.0594,0.003709
FERMT3,0.3422,0.0458,0.33464,False,0.0366,-0.0092,0.424538
FERP1,0.4582,0.0026,0.206548,False,-0.0206,-0.0233,0.287299
FES,0.897,0.0634,0.027457,False,0.0626,-0.0008,0.05655
FETUB,-2.0003,-0.0154,0.000323,False,-0.0257,-0.0103,0.002753
FEZ1,0.7863,0.0982,0.04604,False,0.0241,-0.0741,0.085637
FEZ2,-0.7082,-0.0655,0.066334,False,-0.0381,0.0273,0.114692
FEZF1,1.2176,0.0075,0.006469,False,-0.0017,-0.0093,0.0186
FFAR1,6.2737,0.0027,0.0,False,-0.0038,-0.0064,0.0
FFAR2,0.0226,0.0001,0.947567,False,-0.0165,-0.0166,0.959947
FFAR3,0.5082,0.0153,0.165863,False,-0.0016,-0.0168,0.240587
FFAR4,0.0909,0.0056,0.792073,False,-0.0113,-0.0169,0.838378
FGB,-2.0955,-0.0212,0.000236,False,-0.0322,-0.0109,0.002407
FGD1,-0.3104,-0.0476,0.378973,False,0.0211,0.0687,0.468969
FGD2,0.2334,0.0067,0.50372,False,-0.0173,-0.024,0.588565
FGD3,-0.6375,-0.0424,0.092187,False,-0.0493,-0.007,0.149597
FGD4,-1.0928,-0.1543,0.011215,False,-0.0567,0.0976,0.028219
