gene,mean_junb_pos,mean_junb_neg,log2FC,p_value,bh_p_value,significant
RHOB,0.19720007479190826,-0.4020370841026306,0.5992371439933777,1.3287312204583571e-266,1.4444940141565361e-264,True
MCL1,0.23399247229099274,-0.3611394166946411,0.5951318740844727,1.1441980015515281e-259,1.2182366557412714e-257,True
MT2A,0.22061215341091156,-0.3729936480522156,0.5936058163642883,1.0655399868336105e-258,1.1229124289818284e-256,True
S100A4,0.43243247270584106,-0.15790681540966034,0.5903393030166626,3.4589092761052974e-276,3.841124949877076e-274,True
CCNL1,0.29456084966659546,-0.29412147402763367,0.5886822938919067,2.4674001845119257e-251,2.5739885493849494e-249,True
CCL2,0.26618093252182007,-0.3221206068992615,0.5883015394210815,2.2025018474885463e-287,2.546272938087225e-285,True
HSP90AB1,0.17198951542377472,-0.4056674540042877,0.5776569843292236,5.576990395737756e-234,5.3997466697232156e-232,True
SERPING1,0.36314359307289124,-0.20958901941776276,0.5727326273918152,3.753382560700844e-211,3.3037230647214277e-209,True
ZFP36L1,0.33771592378616333,-0.2313774675130844,0.5690934062004089,9.267811696675785e-228,8.862487956731662e-226,True
ZFP36L2,0.4109960198402405,-0.15771453082561493,0.5687105655670166,3.5493653490702395e-248,3.641390285107392e-246,True
SLC2A3,0.24966056644916534,-0.3178366720676422,0.5674972534179688,1.0643696430173613e-243,1.084781731894964e-241,True
IFI27,0.26076972484588623,-0.30623921751976013,0.5670089721679688,2.1849728958701895e-241,2.1979550400242237e-239,True
NFKBIZ,0.3153897821903229,-0.25032010674476624,0.5657098889350891,1.527026328469014e-237,1.5164056645819058e-235,True
ITM2B,0.29738035798072815,-0.26674795150756836,0.5641282796859741,5.189774803423733e-205,4.38132950230184e-203,True
IFITM1,0.29328620433807373,-0.26720941066741943,0.5604956150054932,1.2560659021131047e-247,1.2843792028109018e-245,True
NFKBIA,0.1943781077861786,-0.360394686460495,0.5547727942466736,1.7801280993248046e-227,1.6970371969655513e-225,True
CFD,0.40115535259246826,-0.14807312190532684,0.5492284893989563,5.696690473209074e-236,5.6031924105218e-234,True
PPIA,0.18166221678256989,-0.3643287122249603,0.5459909439086914,1.295250221789845e-204,1.0905091745031189e-202,True
ACTG1,0.20463037490844727,-0.33857035636901855,0.5432007312774658,3.061688630122961e-208,2.635008300752769e-206,True
TPT1,0.1424877792596817,-0.3988136947154999,0.5413014888763428,4.947718268188438e-193,4.023494884600587e-191,True
MYL6,0.20306116342544556,-0.33531665802001953,0.5383778214454651,1.4147874462334517e-205,1.200941354702768e-203,True
CALM2,0.24407607316970825,-0.29371377825737,0.5377898216247559,1.1904761291523039e-216,1.0816575340036902e-214,True
CD99,0.34197935461997986,-0.19577792286872864,0.5377572774887085,3.0205558088464636e-222,2.8019724738170654e-220,True
LAPTM4A,0.2717345058917999,-0.26515015959739685,0.5368846654891968,3.361311728162376e-194,2.7478501655317913e-192,True
SAT1,0.17449992895126343,-0.3609504699707031,0.5354503989219666,6.985085200801507e-210,6.096306895110791e-208,True
CD63,0.23957379162311554,-0.2878374755382538,0.5274112820625305,1.6354141146505618e-189,1.3195321748494364e-187,True
C1R,0.39579474925994873,-0.12438664585351944,0.52018141746521,3.678692088817277e-212,3.247205612188766e-210,True
