compartment,direction,rank,gene_symbol,log2FC,wald_stat,p_value,ensg_versioned
FAP,UP,68,ARHGAP36,15.921772580002568,6.303307008957418,2.9136094615539103e-10,ENSG00000147256.12
FAP,UP,69,LINC02033,16.602508206730274,6.265224847627851,3.722878261286921e-10,ENSG00000279727.1
FAP,UP,70,BOK-AS1,15.893724804207194,6.255950133293737,3.9510298831630095e-10,ENSG00000234235.1
FAP,UP,71,STIM2-AS1,16.97797743986031,6.248848418835819,4.1348996096713106e-10,
FAP,UP,72,FATE1,15.59220391919775,6.230505769027599,4.6493170712800077e-10,ENSG00000147378.11
FAP,UP,73,CTSV,15.80723044522952,6.210191813356236,5.291996567482855e-10,ENSG00000136943.10
FAP,UP,74,SMIM9,15.918753611477294,6.171809456730986,6.751283469671974e-10,ENSG00000203870.5
FAP,UP,75,AIFM3,33.121535858748175,6.148563467103224,7.818784091893311e-10,ENSG00000183773.15
FAP,UP,76,KIF19,15.692228558071806,6.128875464088124,8.850236398346274e-10,ENSG00000196169.14
FAP,UP,77,MOGAT3,41.80489248140275,6.121472036565764,9.271479164862075e-10,ENSG00000106384.10
FAP,UP,78,CXCR2,15.085600596320852,6.101907452222925,1.0481006014668335e-09,ENSG00000180871.8
FAP,UP,79,AL022313.2,15.552309348874545,6.093842909110495,1.1023183726327146e-09,
FAP,UP,80,CLIC4P1,15.458084418432271,6.090924512389475,1.1226047999876863e-09,ENSG00000236739.3
FAP,UP,81,RPSAP51,15.466266410261854,6.086387891810216,1.1548645593184819e-09,ENSG00000244131.2
FAP,UP,82,MUCL3,15.2639882033317,6.086046744954649,1.1573266523225556e-09,
FAP,UP,83,AC015967.1,15.51564804354831,6.077914147219924,1.2175590869431486e-09,
FAP,UP,84,JADRR,15.144597721632945,6.049810593346529,1.4501622730224252e-09,ENSG00000280711.1
FAP,UP,85,CLCNKA,15.671609393719148,6.04826011388878,1.464184278358213e-09,ENSG00000186510.12
FAP,UP,86,U73169.1,15.614063170969544,6.047089525051445,1.474858141501971e-09,
FAP,UP,87,PANCR,15.30929358620536,6.046782103984729,1.4776738708841682e-09,ENSG00000250103.2
FAP,UP,88,IPO7P2,14.780401321096967,6.02339232278639,1.7079875436882755e-09,ENSG00000225674.1
FAP,UP,89,AC087893.2,15.16714393225154,6.022037490523947,1.7223498536819311e-09,
FAP,UP,90,B3GAT1,15.35216614499894,6.00539759663718,1.9086359884348877e-09,ENSG00000109956.12
FAP,UP,91,AC127024.1,15.19830679586669,5.998094665445596,1.996461304449448e-09,
FAP,UP,92,MT1P3,9.641599387670258,5.95816889553917,2.550798247739498e-09,ENSG00000229230.3
FAP,UP,93,AC018690.1,13.75771925642799,5.84598678138907,5.035740352527272e-09,
FAP,UP,94,LDHBP2,13.50046026273692,5.837607001750797,5.295588539119399e-09,ENSG00000213684.4
FAP,UP,95,PLXNB1,1.5224778660390843,5.772713692035204,7.800492211161815e-09,ENSG00000164050.13
FAP,UP,96,ZEB2,1.3208398239057682,5.738387827266072,9.55820376421125e-09,ENSG00000169554.23
FAP,UP,97,RPL35P1,14.844123152220126,5.723265299306494,1.0449589164655756e-08,ENSG00000237991.3
FAP,UP,98,AC091946.2,15.24638987001542,5.721555509365051,1.0555315969579066e-08,
FAP,UP,99,RPL5P3,15.825148386095863,5.6978798483864965,1.2130649015152262e-08,ENSG00000242276.2
FAP,UP,100,AL645939.4,14.37435067074555,5.676708260642567,1.3731135754657173e-08,
FAP,DOWN,1,MYBPC2,-2.3909124680497165,-6.477091137369033,9.350771890101251e-11,ENSG00000086967.10
FAP,DOWN,2,MFSD6,-2.0740457796299063,-6.217465787968737,5.052482735376672e-10,ENSG00000151690.15
FAP,DOWN,3,STARD4-AS1,-2.6315905594137954,-5.813317375837698,6.124678338737912e-09,ENSG00000246859.3
