stratum,tf,beta_age,se_age,p_age,ci_lo,ci_hi,beta_age_x_smtsisch,p_age_x_smtsisch,n,r2,family,pre_cv_n,post_cv_n,bonf_alpha,bonf_sig
T2_mid,SCENIC__FAP__KLF10,0.009304447782217246,0.013327719596557793,0.48572375633553466,-0.016940038592118848,0.035548934156553344,-1.5722853744136614e-05,0.5107126210137423,265,0.03351617341001023,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__MuSC__ATF3,0.007280891525760904,0.008889030472442898,0.41348967352608035,-0.010223081109988295,0.024784864161510104,-8.037027813052357e-06,0.6141336654286529,265,0.021141048806365692,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__MuSC__CEBPB,-0.009782912991187106,0.015936171664976597,0.5398327674876406,-0.0411638733340637,0.021598047351689482,-2.786318123693573e-06,0.922313131400989,265,0.06799554002641728,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__MuSC__EGR1,0.004835332038782043,0.0129195914772904,0.7085144786363173,-0.02060548250051162,0.03027614657807571,9.444345823576081e-07,0.9674766757807634,265,0.04366299337364121,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__MuSC__FOS,-0.020977486018939277,0.015316221666026099,0.17199016488473154,-0.051137662177218504,0.009182690139339953,4.0327818676590565e-05,0.14276837371361978,265,0.020745932834128955,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__MuSC__FOSL2,-0.00707406209543702,0.005397512604462393,0.1911487771006216,-0.01770265800615129,0.003554533815277249,1.132196570585399e-05,0.24262819504714042,265,0.09190074587770036,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__MuSC__IRF1,0.014102051972285394,0.012915575492668833,0.2759075066356122,-0.011330854428416621,0.03953495837298741,-1.6834394482231442e-05,0.4674511416347751,265,0.06973255858598792,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__MuSC__JUNB,0.006684337037980765,0.02265949321465873,0.768237398304953,-0.03793595652484783,0.05130463060080936,-1.902589369856601e-05,0.6396229243584173,265,0.03900953286222164,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__MuSC__KLF10,0.007153310865541779,0.010077753876500574,0.47845926319866694,-0.012691454953514154,0.026998076684597715,-2.326453655684271e-06,0.8975486099580374,265,0.12283462922963262,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__Vascular__ATF3,0.006658348864350383,0.0043054174564857075,0.12320368248136397,-0.0018197308967027558,0.015136428625403521,-1.43061056266933e-05,0.0647115690839166,265,0.03565423956971181,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__Vascular__CEBPB,-0.0010164024734403377,0.009172716438903022,0.9118550996360588,-0.01907899974316488,0.017046194796284202,6.774757225990122e-06,0.6804227836419778,265,0.02616082850945678,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__Vascular__EGR1,-0.01715162024012713,0.020935536728641013,0.4133920565889009,-0.058377158070030064,0.0240739175897758,2.6311457483620992e-05,0.48351511860095187,265,0.05381477659442735,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__Vascular__FOS,0.012917979772476808,0.01484258720928497,0.3849248747444196,-0.016309531727283565,0.042145491272237184,-1.7079747804865723e-05,0.5211450051860307,265,0.050577248200438074,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__Vascular__FOSL2,0.0056691798036144925,0.018030804494763814,0.7534579607684455,-0.029836459360895295,0.04117481896812428,-1.1668381235550962e-06,0.9712065629606073,265,0.025170775396870182,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__Vascular__IRF1,0.010600009068404543,0.008765585570354829,0.2276596710770184,-0.0066608801180448735,0.02786089825485396,-1.762715554909971e-05,0.2625940959672167,265,0.020591001028813394,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__Vascular__JUNB,0.01068484683512453,0.015371098232029526,0.4875996343298624,-0.019583390366779842,0.0409530840370289,-1.4151448700652284e-05,0.6076862186446579,265,0.07315366376758559,mlm,803,265,0.000462962962962963,False
T2_mid,SCENIC__Vascular__KLF10,0.0011768350329273702,0.00782824035488311,0.880619695228531,-0.014238266240798382,0.01659193630665312,-7.716167884618386e-06,0.5825792368907164,265,0.08515037980069817,mlm,803,265,0.000462962962962963,False
