gene_symbol,logFC,moderated_t,p_value
SUN1,-0.6852419692422481,-9.697418985041686,3.19443127834592e-12
OXR1,-0.7077566590585778,-9.695572610778502,3.212154738649839e-12
ACTR10,-0.731008769922594,-9.67821531688018,3.383722194561544e-12
LIMS1,-0.7903031065051861,-9.671395577794708,3.4536484537643623e-12
UBE2E3,-0.7581734672461385,-9.665270253160347,3.5177030387259378e-12
SBDS,-0.8009551486283323,-9.64111150221583,3.782308817895282e-12
UBE2N,-0.7047590504949222,-9.62955359321104,3.915951106358648e-12
TSC22D1,-0.8209385423842337,-9.577861217782798,4.5748013205120114e-12
PPM1B,-0.7900919024669635,-9.576690726424252,4.590956102352725e-12
LDB3,-0.7245753298131187,-9.53996468610523,5.1283230692721255e-12
CREG1,-0.7609654959533354,-9.535925700885993,5.191186480598634e-12
HSPA14,-0.7287565509925418,-9.523798976831882,5.384662515672712e-12
CLASP2,-0.746740867983389,-9.512970129853548,5.56360412989716e-12
EIF3E,-0.6980040825336836,-9.503680772146918,5.721904044885371e-12
ACTN2,-0.7845135999316577,-9.503025202102004,5.7332466023477204e-12
TSC22D2,-0.7174187135647074,-9.459515962891693,6.5393234113401256e-12
CDV3,-0.6952658166013829,-9.455362739903865,6.622039434989841e-12
SORBS1,-0.7933646575591197,-9.453047863972863,6.668602182397728e-12
NELFCD,-0.7009382544469509,-9.439274329924382,6.952594914770972e-12
PTPN11,-0.7388862032772248,-9.429042429733286,7.171473701438512e-12
OAT,-0.6827981351329563,-9.426349856015669,7.230224759700727e-12
SEPP1,-0.8264776604225779,-9.424080973482992,7.280109580867545e-12
PCNP,-0.7089028794555966,-9.419198714074147,7.388639624394684e-12
IFRD1,-0.815017885729874,-9.413133849791299,7.52574515131815e-12
H3F3B,-0.6666176899257149,-9.38851072852156,8.109398341136126e-12
CPEB3,-0.7607231021413599,-9.345235870042432,9.248654315670259e-12
SLC38A2,-0.8332489358144666,-9.330696711654005,9.666774550979257e-12
STAC3,-0.7824607861657099,-9.324022395445516,9.865081251105782e-12
RPL14,-0.98657026585237,-9.315240193599237,1.0132312975224985e-11
ACP1,-0.7100146022248789,-9.290437918145896,1.0927310204467823e-11
SGTA,-0.7338025792784191,-9.285986503508854,1.107654660374008e-11
RBM24,-0.7285710246790552,-9.275455115438607,1.1437893421166697e-11
RPL15,-0.6897682091428107,-9.261692216312447,1.192818866021818e-11
MPDZ,-0.6887643155954135,-9.252716806235457,1.2259351424831153e-11
PYURF,-0.7491162886692795,-9.25270583116923,1.225976201858324e-11
ACTR2,-0.6598035626122252,-9.231129475619873,1.309451776591555e-11
LMBRD1,-0.7255029501026372,-9.231119440464983,1.3094919116298946e-11
TSPAN3,-0.7044654074333987,-9.225783272391588,1.3310111108596168e-11
RWDD4,-0.6945466231645203,-9.208574266247384,1.4028816649341966e-11
PER3,-0.8341692875287529,-9.183823826426744,1.5132005553598575e-11
CAPZA2,-0.9285537108780658,-9.179729374987339,1.532280091272381e-11
UGP2,-0.681707594456555,-9.175194294771607,1.553697483423116e-11
ADH1C,-0.9157302687288458,-9.175113698032947,1.5540808399247405e-11
PTGES3,-0.704043122336173,-9.165297895238062,1.6014931927847583e-11
SLC25A3,-0.6993799777218949,-9.164153390150686,1.6071159301138908e-11
CUL2,-0.7017173692125724,-9.155900454526565,1.6482574290091983e-11
HSPA8,-0.6814562090066776,-9.15505539274159,1.6525298830964592e-11
RIOK3,-0.6582668872980079,-9.152708297310578,1.6644552371279227e-11
SLC15A4,-0.7521806705904973,-9.148539780046162,1.6858503498512858e-11
PDLIM3,-0.7444754871868449,-9.142695301566825,1.7163173491743802e-11
TMEM38B,-0.8719311092286258,-9.132669536246826,1.769886040356859e-11
BTBD1,-0.7644675418863994,-9.131578242624418,1.7758182060633598e-11
STK25,-0.6790446368611485,-9.131339663105754,1.7771177811743895e-11
CCT4,-0.6680479887092219,-9.11695385038349,1.8572860054918292e-11
EIF4A2,-0.7135734292407359,-9.10713005679734,1.9141269160075705e-11
SATB1,-0.679309899939973,-9.104841827314864,1.927617773187158e-11
CAB39,-0.6396603608527222,-9.0854109927988,2.0461291091361234e-11
LAMP2,-0.7261205246052783,-9.079108105109606,2.0861354291169704e-11
USP10,-0.6601498717698981,-9.078847363977882,2.0878073891580018e-11
GPN3,-0.6804893166960713,-9.060001926198446,2.2123151894155546e-11
GNAS,-0.6575336884888773,-9.0581889290233,2.2246829209852816e-11
ARF1,-0.6672675288761376,-9.055266523650007,2.2447662710875963e-11
KCNJ2,-0.7847262436046419,-9.048597951391839,2.2912842386429305e-11
NRAP,-0.68772749798425,-9.048437972449108,2.2924121142828725e-11
SSFA2,-0.6961938950498584,-9.035607419432221,2.3847246325584697e-11
RAB2A,-0.6688001972127307,-9.033073390729886,2.4033968046156245e-11
GRB2,-0.6432001924693723,-9.022462454311148,2.4832059256676967e-11
GATM,-0.8870189224817442,-9.021064879808698,2.4939157761653666e-11
CD46,-0.6976250822894223,-9.019318697072029,2.5073628199551947e-11
EIF5,-0.6341242299970434,-9.019192881526337,2.5083345338125812e-11
CNOT7,-0.7389807448792175,-9.011283200384192,2.570195314931101e-11
VWA8,-0.6194268624012343,-9.001367412471433,2.6499329346919177e-11
KLHL40,-0.7126117462256633,-8.995170928590351,2.7010289347955978e-11
BCL6,-0.76646367742685,-8.987027585772765,2.7696989743208593e-11
ANO6,-0.6696384182363686,-8.980364422812587,2.8272003206117514e-11
KARS,-0.6433182136978987,-8.976647780732826,2.8597975446469677e-11
PABPC1,-0.6903501689876841,-8.966569661957621,2.950116772636985e-11
FOXJ3,-0.708610061501377,-8.961371317299369,2.997827411967736e-11
TERF2,-0.693103994190683,-8.958964481932668,3.020181283651264e-11
LAPTM4B,-0.6802868888989717,-8.956229148237465,3.0457910881933416e-11
SRSF2,-0.685038827428897,-8.95564804206553,3.051259997697502e-11
CCDC117,-0.7071508849911406,-8.95299321821323,3.076371820011048e-11
CAPN3,-0.6496606300365507,-8.947765070672705,3.126437982474491e-11
TIPRL,-0.6783623867675644,-8.946718749779809,3.136556474910419e-11
PTCD3,-0.6918456435678401,-8.935709057659286,3.2450571866083416e-11
PAFAH1B1,-0.6390798442949991,-8.909506913831672,3.518817341829795e-11
SCML1,-0.6849410282657586,-8.906143868517985,3.555608039129171e-11
SOS2,-0.6270415862357916,-8.9004203478113,3.619119170353373e-11
MAP4K3,-0.7112244467261458,-8.89824437953227,3.6435650314766627e-11
NEXN,-0.7358139779455426,-8.893901614121546,3.692854555820201e-11
ADH1B,-0.7749731155263447,-8.889726702330558,3.7408752413206675e-11
CDKN1B,-0.6538238426973054,-8.88809229017384,3.7598462981480915e-11
LSMEM1,-0.6553315006070319,-8.8776313900879,3.883596744298897e-11
TBL1XR1,-0.8294453570864855,-8.872349275524973,3.947641516203815e-11
NAP1L4,-0.6507173522196035,-8.824250332971685,4.582342957899883e-11
TOP2B,-0.6501442893364394,-8.823705347348241,4.5900974455990775e-11
MBNL1,-0.7913359825754516,-8.81340122945308,4.739237876402067e-11
RCSD1,-0.6242777211563217,-8.801137016044208,4.923156122619155e-11
DIXDC1,-0.6377458483974275,-8.801027783143065,4.924826263780994e-11
DENR,-0.6339287447521933,-8.795536886293698,5.0095235906735816e-11
