gene_symbol,logFC,moderated_t,p_value
MSANTD4,-0.3435538717917368,-4.575764033640758,4.259293472309226e-05
VKORC1L1,-0.3278969423189255,-4.575147420368329,4.26762397546898e-05
ZNF274,-0.3659227316531838,-4.5745728780289445,4.2754005028683034e-05
TUT1,-0.3354723413188243,-4.57411134648444,4.281657493058187e-05
NXN,-0.3805489392053949,-4.573343357463305,4.292089079066759e-05
RFX2,0.29702964021104344,4.571704877190941,4.314428073790811e-05
TRA2A,-0.3996517100327748,-4.570361586776602,4.3328276401216784e-05
WDR5,-0.3565402530427051,-4.569435140791998,4.345562424867037e-05
NDEL1,-0.36619760492094855,-4.568289732681888,4.3613578741899894e-05
NAXD,-0.31243301222409237,-4.5679994093844,4.3653704532881115e-05
TPP1,-0.3386928751521816,-4.567590829994978,4.3710236025752985e-05
EDEM1,-0.3370912925693269,-4.567427542915348,4.3732848714925156e-05
S100A4,-0.47048552636847674,-4.5664444398495325,4.386923610099736e-05
ENOPH1,-0.3491450399902658,-4.566356865408576,4.3881405686357875e-05
NUP153,-0.35303242467801965,-4.565926360320336,4.3941278099627675e-05
ZBTB14,-0.3423378402284034,-4.565504419451846,4.400003731670034e-05
SIRT2,-0.4030745026594581,-4.563931371736507,4.421978003548694e-05
RNF144A,-0.3341223157478844,-4.563590736036986,4.426750604580512e-05
PYGO2,-0.3774376486687685,-4.562554920122135,4.441294391720852e-05
UBFD1,-0.3647173610428831,-4.5601905558049936,4.47466827410749e-05
MARK2,-0.4031693034195476,-4.55935943506987,4.486458272008034e-05
TMEM14C,-0.3633509046885003,-4.558675777579723,4.496179275214906e-05
TMEM160,-0.3495236544811968,-4.558082753188563,4.5046283110675544e-05
AKR7A2,-0.33548536085383895,-4.558025450485055,4.5054455494979705e-05
CSNK1A1L,0.3169683363661417,4.557001925551168,4.5200673911754554e-05
PLCB1,-0.37777750972236046,-4.556159881545949,4.532131576327579e-05
C11orf71,-0.34622438008447176,-4.5557671834663145,4.5377686735651834e-05
STK40,-0.4209355775727617,-4.555488291994755,4.54177628289101e-05
PARG,-0.3067244946043177,-4.555120934742129,4.547060431987299e-05
NREP,-0.3689007604807928,-4.554991766882476,4.54891984596226e-05
CSNK2A2,-0.40130006445081257,-4.554655814748845,4.553759485805245e-05
CAMTA1,-0.3320416734754985,-4.554146997107262,4.5610990133366734e-05
ADCY2,0.34051746416106415,4.55294293654465,4.5785135023912816e-05
SLC4A1AP,-0.3386698895533433,-4.551705430741502,4.596479762713737e-05
ENAM,-0.37225321048655935,-4.551287851994076,4.602557832414182e-05
ATXN2,-0.3763457814813338,-4.550371025652593,4.615930408394111e-05
ZNF417,-0.579801826595278,-4.550335942325908,4.6164428814446104e-05
KIF1C,-0.39777970550593234,-4.548744376723388,4.639750235167264e-05
ABHD16A,-0.4258654408852567,-4.547916324868382,4.651922135095938e-05
GAS6,-0.3733647512891888,-4.545949422315212,4.680960358985705e-05
DPYSL3,-0.41093413493380193,-4.5454470093821016,4.688406192905287e-05
MRPL10,-0.35142160853087134,-4.54375943194715,4.7135015891119314e-05
TRMT6,-0.3404896915525245,-4.543543867548239,4.716716660879068e-05
TARS,-0.35939017620305425,-4.54332399948793,4.719998138812037e-05
TWF1,-0.39215873275706725,-4.543248771856747,4.721121407798324e-05
C5orf22,-0.32319967198655,-4.543023345102579,4.724488962350383e-05
PRKCDBP,-0.40965327591003764,-4.542780146926391,4.728124641773765e-05
P2RY10,0.34368481979167875,4.542185795234952,4.737021439798971e-05
YTHDF1,-0.367677630395839,-4.539988217336961,4.770059781527376e-05
POLR2M,-0.3482670864154491,-4.539520372313523,4.777122512450442e-05
RNF145,-0.3506963751336678,-4.53862579631698,4.7906559052785305e-05
CLIC4,-0.47400595706084137,-4.538134121945927,4.798110115654758e-05
NEBL,-0.350155713392196,-4.537439756091406,4.808656707964739e-05
PRR13,-0.37555396723065804,-4.537323141430691,4.810430177194987e-05
PSIP1,-0.3400676160230184,-4.535985197035258,4.83082357211712e-05
IL36B,0.32499146262748646,4.535349060929995,4.840549523777199e-05
AASDH,-0.33374225095912025,-4.5345481989593805,4.8528213294073965e-05
CTNNA1,-0.5073225987496779,-4.5343477745931375,4.855897257369114e-05
GABARAP,-0.34263161479054305,-4.533815677256283,4.8640726859663606e-05
MED14,0.3495394247622903,4.532946575957437,4.8774550973311684e-05
RELA,-0.37449652917899856,-4.532791707940217,4.879843545089595e-05
CDK19,0.3250329422926524,4.5312895938296975,4.9030695260589e-05
SCAF11,-0.38987292658960704,-4.529224777906718,4.9351733365014335e-05
TNFSF14,0.3249701899931628,4.528637495067734,4.9443420612008473e-05
TAS2R8,0.3238941464078388,4.528241690970216,4.9505308299990715e-05
RNPC3,-0.32332348511693176,-4.52635038954419,4.980208254673061e-05
DLEU7,0.32841602837436185,4.524826642317824,5.004245172290048e-05
EMC6,-0.3519316908328475,-4.524744464225174,5.0055447530252204e-05
ABCE1,-0.3710186838057278,-4.52446603542654,5.0099503449734866e-05
ZSCAN9,-0.32466420165291476,-4.5219030274264025,5.050684151148264e-05
SNRPB,-0.3687975069505329,-4.521578967161418,5.055857527255532e-05
ZNF689,-0.3234405511584496,-4.520700232481605,5.069912050796693e-05
PPP4R3B,-0.3983140254110047,-4.52066181805771,5.070527327044169e-05
ALKBH3,-0.34395731638735216,-4.518090884682142,5.111872494075477e-05
TIMM22,-0.3245929526717922,-4.517899431576694,5.114964605026031e-05
VPS41,-0.4597754999095718,-4.516328083550077,5.140412519508196e-05
EAPP,-0.3944992621985114,-4.516250097491367,5.141678732173333e-05
UBE2I,-0.35651045312811835,-4.514475342689204,5.170577259145541e-05
TIMM44,-0.33238411939104184,-4.513427429383095,5.187715340622481e-05
ZDHHC6,-0.34732518643637567,-4.5124768879674475,5.2033091720299956e-05
UXS1,-0.3681292753320766,-4.512374519562615,5.204991288838022e-05
RING1,-0.36382146347555155,-4.512185249372279,5.208102780892819e-05
ASXL1,-0.3534454151289965,-4.511858641611257,5.213476316680198e-05
NXF1,-0.34176741726426907,-4.511648846094788,5.21693086123218e-05
CTAGE1,0.34069050597124595,4.509153360891191,5.258194829435911e-05
NCBP2,-0.33192688840931983,-4.508881506347229,5.2627093689420984e-05
TMEM161A,-0.3439400068461761,-4.506951515401559,5.294869221657096e-05
FAM104A,-0.4198189973189832,-4.506689963465214,5.299242331089929e-05
RAP2C,-0.4147852313161595,-4.504983814204601,5.3278559950664565e-05
ZNF398,-0.3244123962601042,-4.504760764666037,5.3316079262474624e-05
KANK1,-0.36168494883133107,-4.50475322842918,5.331734739064529e-05
MAPK1,-0.3740424177994537,-4.504022492434049,5.344044956676542e-05
SART3,-0.3504172787106894,-4.502725641606766,5.365960842964407e-05
KAT8,-0.32809010711744113,-4.502542098618332,5.3690697093806794e-05
KIF20A,0.3262998870708605,4.502216322149666,5.374592091799128e-05
APRT,-0.36268446137000365,-4.502161071483188,5.3755292231931405e-05
HIST2H2AA3,-0.41299257103475906,-4.50085023869571,5.397809938369943e-05
YIPF7,-0.33942007343542946,-4.496897539534122,5.4655455061139315e-05
OARD1,-0.3582090270973264,-4.4958067927030205,5.4843835031502484e-05
RWDD1,-0.3600387361251707,-4.495492422558904,5.4898247230002545e-05
PAK2,-0.35641139018403856,-4.495271621211057,5.4936495903191196e-05
EXOC4,-0.3228518252457405,-4.494743136555692,5.502814974004325e-05
YBX1,-0.34971342666676886,-4.4941956698603835,5.5123253802535975e-05
HAO1,0.3434844397070954,4.494000026277954,5.5157279443603505e-05
EGR1,-0.45332581939019834,-4.493896644558851,5.517526754817313e-05
PIGF,-0.3713321536007189,-4.49319482223881,5.5297534759587566e-05
KLHDC3,-0.3418547243274396,-4.493161540642254,5.530333947421966e-05
UQCRH,-0.41249093939008397,-4.4923216423893,5.545002601242092e-05
ACKR3,-0.40553791486222,-4.491663210351115,5.5565286714137764e-05
GAS1,-0.341682663952801,-4.491183600908295,5.564939187342822e-05
CCDC127,-0.33498145076865016,-4.4911664841375964,5.565239580781936e-05
KLHL12,-0.32961426469251276,-4.490877438146974,5.570314641855997e-05
ZCCHC9,-0.34598897168331344,-4.489182755501279,5.600161313597207e-05
SNRPB2,-0.33951104695243717,-4.488647153359291,5.6096269027705616e-05
UBE3C,-0.31598948334361465,-4.488408309289824,5.6138530049667634e-05
RBPMS2,-0.3859764890862859,-4.488223140684627,5.6171315239558315e-05
SWAP70,-0.36786824446202027,-4.487897338833669,5.622904598060586e-05
BTBD10,-0.3340034897663354,-4.486994343439988,5.63893574551707e-05
FNDC3A,-0.3984095651056839,-4.486234102662024,5.652467288117765e-05
STRIP2,-0.3635503561568848,-4.48578574138131,5.660462609030869e-05
LARP1,-0.3559307399515207,-4.485111884276735,5.6724999154760794e-05
PEX11B,-0.3378208344472913,-4.485058304934383,5.673458095968841e-05
FILIP1,-0.3521087855898135,-4.484961695960854,5.67518619359605e-05
NOMO1,-0.3539795618358337,-4.4839858859294095,5.692670016866593e-05
LRP10,-0.4039431240736876,-4.48383651655183,5.6953509631135675e-05
ARHGEF4,-0.37254108299358946,-4.48265414488098,5.7166164342971294e-05
BMPR2,-0.35409785174526376,-4.482629334554056,5.7170634922188335e-05
SOD3,-0.46169257096848637,-4.480674654000154,5.752392933572568e-05
SPATA5L1,-0.34802584398887115,-4.478988938179015,5.783032954898274e-05
MCU,-0.3340910613210837,-4.478006957224422,5.800955435546155e-05
RPL10A,-0.33718612484721755,-4.4760638407932,5.8365806584022176e-05
IMPAD1,-0.3223200357308762,-4.475837879080379,5.840737358304224e-05
ZNF234,-0.37029551056001175,-4.475511700461803,5.846742729202078e-05
SRPRB,-0.3520858846984005,-4.4752625207771075,5.85133453028683e-05
TSPAN31,-0.3313383687603062,-4.472631058956899,5.900042675946114e-05
G6PC3,-0.35542662557329785,-4.470760030602544,5.934916942775111e-05
CALU,-0.3900779865878644,-4.4700938599880224,5.947382499385085e-05
ECHDC1,-0.389394546522426,-4.4693006430141935,5.962258875240432e-05
ANO8,-0.359374771139237,-4.466893405195676,6.0076291670706744e-05
NUCB2,-0.4381214655139838,-4.466073428143375,6.023160819029681e-05
GBF1,-0.39256122727654796,-4.465602585143328,6.03209711550102e-05
AP5M1,-0.34622705698530065,-4.464682006048067,6.0496066923003616e-05
VWA3B,0.3121968391860095,4.4642019951677385,6.0587563447955036e-05
HACD2,-0.3706953454030989,-4.462873624990671,6.0841476670526905e-05
SNN,-0.39699497552675833,-4.462293524088994,6.0952687975590784e-05
ALDH9A1,-0.3478531583514437,-4.461087528726823,6.11845280628006e-05
CCDC130,-0.33735168641901214,-4.460516543159423,6.129459552429287e-05
UBN2,-0.31009001767452904,-4.457963934552368,6.178903443426084e-05
CWF19L2,-0.3294421412476398,-4.456624516955634,6.205004124590908e-05
PRPF31,-0.319637157036881,-4.456506954370313,6.207300172553921e-05
DYSF,-0.3335963014469763,-4.455277508395923,6.231361748843907e-05
CNOT8,-0.35949472518641423,-4.45503400060816,6.236138296513146e-05
KLF4,-0.40034337595456504,-4.454391124271515,6.248765948681302e-05
FAM98B,-0.4378025820969613,-4.4538139215752945,6.260124969328305e-05
ATL3,-0.3389711901337389,-4.452710445916495,6.281897120173117e-05
RHOT2,-0.35688204028322645,-4.45132561122606,6.30932570597593e-05
CDC23,-0.31514264474684484,-4.450020822490474,6.335276287625377e-05
GTF2H3,-0.3410155715023244,-4.449421824401776,6.347224614855365e-05
SURF1,-0.34755189926361163,-4.449401949311639,6.347621445468265e-05
MFAP1,-0.3386881624096302,-4.448604647725414,6.363560627476883e-05
NDUFS1,-0.413249074379889,-4.448601484555759,6.363623941776449e-05
ZNF579,-0.3617183085938882,-4.447719816518672,6.381295589655346e-05
VNN1,0.3372526556165764,4.445977721846098,6.41635469965267e-05
ALPP,-0.4375148890813625,-4.445855945270732,6.418812464187235e-05
SH3BGR,-0.330119156578043,-4.445575954027816,6.42446690877928e-05
HMGN3,-0.3344154225904551,-4.445549135360558,6.425008770017025e-05
THOC3,-0.32812476581468064,-4.444941650176702,6.437294791971741e-05
DTX3,-0.35541761176271336,-4.444640286741359,6.443398229855303e-05
MAGEB10,-0.41702141030832274,-4.444241349305645,6.451486535788623e-05
KEAP1,-0.36180026381279373,-4.4436016661859865,6.464476649700125e-05
AKIRIN1,-0.32535012925836504,-4.442425831316011,6.488421371737172e-05
CDC26,-0.3651091695641957,-4.44241720067204,6.488597447354358e-05
TRMT112,-0.3450292480016206,-4.441301778358556,6.511392881557244e-05
FASTKD5,-0.32737263734039457,-4.441247371977993,6.512506768425619e-05
SUPT4H1,-0.32336149675223824,-4.440818933733214,6.521284911340091e-05
ADRA1A,0.3192298505003388,4.4406119104734865,6.525530704159974e-05
NUP205,-0.32816285641499054,-4.439170202524929,6.555173598266912e-05
UBAC2,-0.3579680182964676,-4.438395742049638,6.571151702211228e-05
CMPK1,-0.4262330535527816,-4.4372198473406055,6.59548491746442e-05
ADAMTS2,0.330827695976512,4.4370900040438865,6.598177220589042e-05
RRP15,-0.3768322275231274,-4.435546111290075,6.630272537808391e-05
KLC1,0.3229266484797039,4.435321089403462,6.634963179221662e-05
MYOM3,-0.3614074200101167,-4.435175374279715,6.638002384894114e-05
PPCS,-0.447039115451417,-4.43472172995864,6.647472862656379e-05
MGLL,-0.4207823045846413,-4.434319649239549,6.655877946247857e-05
HAT1,-0.47752022635785385,-4.432580799167109,6.692346905302341e-05
GINS1,-0.3969209253654019,-4.432241808647136,6.699479342273646e-05
ATF2,-0.3135535581293978,-4.431905638324477,6.706559799087083e-05
ITM2A,-0.42287883528867953,-4.43042414531411,6.737850650108136e-05
VGLL2,-0.45174102730871457,-4.429558924553802,6.756191253820654e-05
C8orf33,-0.31161232657429627,-4.429546802308873,6.75644856356731e-05
DNASE1,0.31036909181223943,4.429407972724275,6.759396079339539e-05
SERPINB3,0.34285556093942904,4.428942606940463,6.769285538912662e-05
DPH6,-0.31310065931450715,-4.428831444922152,6.771649933503606e-05
FXYD6,-0.36576138482346865,-4.428648830381852,6.775535866448481e-05
TCF7L1,-0.35687912746246386,-4.428360126349774,6.781683782247239e-05
DCAF11,-0.3672611790075806,-4.426266191555204,6.826437774386525e-05
PEX19,-0.3206595898894209,-4.42563504074624,6.83998413705422e-05
C7orf25,-0.3221434246484429,-4.425063948482763,6.852264166267953e-05
NAT10,-0.32271305421028196,-4.424889755207487,6.856014091325347e-05
LDHA,-0.35871628637922304,-4.421054683418515,6.939084544825182e-05
TBC1D20,-0.3276109826151342,-4.4205164744315155,6.950821186145427e-05
STXBP3,-0.34157860554196784,-4.4192958980734005,6.977510235710419e-05
FEM1C,-0.38959635813388427,-4.418905427064547,6.986069432546449e-05
BNIP3L,-0.3610814728573194,-4.418866987105727,6.98691259961784e-05
COQ2,-0.3813563680291605,-4.418377835365991,6.997650683967634e-05
SMARCA5,-0.3793427593903267,-4.4183141928048455,6.999048983109132e-05
ANP32B,-0.3542588625303924,-4.417632107032864,7.014052381865828e-05
GALNT3,-0.3887538182454213,-4.416857553153318,7.031127955440176e-05
CD44,-0.35730302657928115,-4.416727089768606,7.034008116017441e-05
LYRM7,-0.4046119523052374,-4.416295417081821,7.043546133544512e-05
STAT1,-0.3932569587360828,-4.4150143999651394,7.07192549333953e-05
STRADA,-0.3356562508361779,-4.4147566860572365,7.07764835011056e-05
SMS,-0.31709899490465854,-4.414382422346815,7.085967420338963e-05
NIPSNAP3B,-0.3766253593373916,-4.414071281620868,7.092890696109424e-05
MFN2,-0.37106480605176007,-4.413820359670024,7.098478855048917e-05
YWHAG,-0.4406884418314557,-4.4116204569396515,7.147656854848538e-05
KLHDC2,-0.375813743101316,-4.409890949677252,7.186553568660708e-05
NSUN5P1,-0.35030211857302807,-4.409693847294304,7.190999554143598e-05
CCDC97,-0.33549393858742915,-4.407541165948909,7.239732781249794e-05
LRBA,-0.33204851656777024,-4.4075354911381694,7.239861676411681e-05
TEX30,-0.3951518900904839,-4.407483736150248,7.241037320260297e-05
DDIT4L,-0.40263258850931183,-4.407431330101381,7.242227943896764e-05
KIAA0930,-0.34112863426884343,-4.405076768788133,7.295920040482265e-05
RBM38,-0.42485052709017335,-4.404793524023932,7.3024052135284e-05
SRPK2,-0.3375773412634032,-4.404334316019747,7.312931242463991e-05
WDSUB1,-0.33079479065959927,-4.40390235104662,7.32284636906663e-05
DPH5,-0.35754123816609473,-4.403648495976825,7.328679384739696e-05
CD93,-0.36911250065055456,-4.403117409634186,7.340897273937418e-05
RPS19BP1,-0.3391751538490829,-4.4030236946537125,7.3430553009478e-05
TBL2,-0.35382570776969324,-4.402654050354775,7.351573367458868e-05
PBXIP1,-0.31939369693611686,-4.402210602867601,7.36180492316181e-05
SIRT5,-0.3671775246656741,-4.402106093624319,7.364218269787351e-05
REEP1,-0.3175181285813501,-4.401786714307939,7.371598239578008e-05
ST6GALNAC6,-0.3608869597678743,-4.401003536850808,7.389725975562215e-05
NDUFAF6,-0.38508600442361773,-4.399119093710006,7.433523173468611e-05
DCUN1D1,-0.33414539689053246,-4.397899345378082,7.462007342340623e-05
EHBP1L1,-0.3408457045871648,-4.39716029844489,7.479317916978097e-05
ATXN10,-0.36101823459628024,-4.396497913079852,7.494866281506649e-05
SERPINB1,-0.36343760276790327,-4.3964777321013555,7.49534049212969e-05
RAB31,-0.3590829600990795,-4.395534576851024,7.517535471177708e-05
CASP8,0.3214224873604393,4.3928346816080674,7.581427761766977e-05
SMU1,-0.36171689320066946,-4.392681098658223,7.5850782048863e-05
INPPL1,-0.3594198001425881,-4.392624315210976,7.586428300610113e-05
MRPL44,-0.35330607630152056,-4.392377588742855,7.592297256906337e-05
ATG4C,-0.32186827059648815,-4.390209569280143,7.644060161163209e-05
PKN2,-0.37039563247616913,-4.390173873061868,7.64491531773876e-05
GEMIN5,-0.30418278695204926,-4.38925852854802,7.666875804842802e-05
CCNF,0.3219280505633363,4.388719753207608,7.679830704325499e-05
HERC4,-0.3333195584586395,-4.3886379986370025,7.681798372417144e-05
MPPED2,-0.3485779335997765,-4.387768913906067,7.702746038740723e-05
LRRC8D,-0.3383495605883122,-4.387706546720017,7.704251432847345e-05
TCF25,-0.34379570626985745,-4.387320615715919,7.713573290429988e-05
ABCA12,0.3404961910847024,4.387159776773808,7.717461487741536e-05
TFRC,-0.614784346001214,-4.3871056360600935,7.718770742917789e-05
HMHB1,0.32582738850355913,4.385218408310142,7.764544723967164e-05
GPRC5C,-0.4294461287047746,-4.384382019854163,7.784915913579764e-05
DCTN3,-0.34072380195432217,-4.384351147502092,7.785668845460846e-05
RFTN1,-0.3709182592286425,-4.383336134046906,7.810463303717626e-05
CRIPT,-0.3528370334462969,-4.382482856648018,7.83136672853784e-05
SCN5A,0.34759377648835843,4.3812494971717655,7.861678181992867e-05
PSKH1,-0.3232223149456416,-4.377201001513761,7.961985016774257e-05
TMEM8B,-0.31451340760482605,-4.376662853563144,7.975412344455094e-05
NENF,-0.3813164680473339,-4.375886667444203,7.994818020368546e-05
C19orf48,0.3174771909808427,4.3757751140017,7.99761080035666e-05
BCL2L14,0.30593859426865744,4.373771880682355,8.047925351830451e-05
AOC1,0.31056811377072774,4.37361144217753,8.051968410922702e-05
FDCSP,0.3329398332644583,4.373347091242293,8.058634406980123e-05
PCGF6,-0.3330439206606538,-4.373267148739383,8.060651338099602e-05
TAS2R1,0.3139979787548584,4.37248417273111,8.080431787602308e-05
SLC25A12,-0.35259975632936846,-4.372229556278345,8.08687443805648e-05
SPATA12,0.3194293080837806,4.371676460753376,8.100886943165355e-05
AKIRIN2,-0.40461973164588294,-4.370780615497383,8.123633353747144e-05
BZW1,-0.3867531234986714,-4.369198160177612,8.163966359498401e-05
CSAD,-0.38390771816441305,-4.367914464830579,8.196828646063122e-05
TYW3,-0.321339124979513,-4.366746343454575,8.226844777719686e-05
C18orf21,-0.36060998500551567,-4.366230668257132,8.24012981573143e-05
ARHGAP1,-0.3673773357433413,-4.3652647541273595,8.26507062897785e-05
MBLAC2,-0.33655015442613334,-4.364865560549267,8.275399750927556e-05
PLA2G16,-0.3946980709652965,-4.364587850433585,8.282592943960424e-05
API5,-0.34477361223197645,-4.364452958198113,8.28608910436553e-05
GUF1,-0.33277360701825853,-4.3641923993798555,8.292846403792133e-05
NAMPT,-0.3840225487569807,-4.3609030959354405,8.378616050471319e-05
INSL6,0.3067969208044956,4.360834255426241,8.380420333559237e-05
MYOZ3,-0.3530854493712201,-4.360245848607001,8.395857774185749e-05
ZDHHC17,-0.31894709697287615,-4.359930638238272,8.404139078958803e-05
VTI1B,-0.3243851027541217,-4.359616040250453,8.412412266832984e-05
PRSS35,0.32939604715666954,4.3586995611200745,8.436558978159448e-05
AKT1S1,-0.40015413338775796,-4.357038132978734,8.480506134543783e-05
CD164,-0.4517946371460224,-4.356672568977729,8.490205858614796e-05
LMO2,-0.3356488533711619,-4.35661559937016,8.491718444254574e-05
FSTL1,-0.47327741518339406,-4.355181105977119,8.529892367486593e-05
PRKCH,-0.3536217676213981,-4.35503288838808,8.533846210146384e-05
GPT2,-0.3378362293867533,-4.354327390272449,8.552690633370929e-05
RPS8,-0.3791064875090271,-4.353692404684688,8.569686429901353e-05
NOMO2,-0.3500655923881103,-4.3518313985882005,8.619688072379129e-05
RPL30,-0.34387349292557423,-4.35090564896403,8.644667407679969e-05
IST1,-0.34429307511621543,-4.350408467579936,8.658111989025134e-05
PGM3,-0.3506274471046874,-4.349926264956609,8.671171067125152e-05
ZDHHC16,-0.32268205238032366,-4.348909013886375,8.698783657837211e-05
KAT14,-0.30387414986940475,-4.348844046155013,8.700550083185362e-05
TRMT13,-0.3432629333228633,-4.348491274610084,8.710147814460421e-05
NUB1,-0.33203035500221856,-4.345204065723937,8.800081274656441e-05
CFAP20,-0.3660614059665567,-4.34507404808822,8.803656994033078e-05
STBD1,-0.3426203523326977,-4.342905896748687,8.863495019557208e-05
DIRC2,-0.34594404373478127,-4.342682651103788,8.869678846870082e-05
SLC47A1,-0.3225873938269672,-4.342474392463135,8.875451345126662e-05
DET1,-0.31041338175838884,-4.3423495838180814,8.878912543772072e-05
ALG8,-0.32105959138794005,-4.342119219951005,8.885304473217433e-05
CSNK1E,-0.36215420715994995,-4.3419564917925175,8.889822421261695e-05
MYBPC1,-0.3378558337312392,-4.3412815795692286,8.90858453893071e-05
MAP3K1,-0.37156512086290605,-4.340711391185366,8.924465591435031e-05
GOLGA3,-0.3470755123683007,-4.337884752627932,9.003603889955939e-05
KAT6A,-0.3512200037014507,-4.337860604469004,9.004282922784759e-05
KIAA0100,-0.31934221534717167,-4.337645975367567,9.010320376159165e-05
RFC4,-0.30774169699998766,-4.337076161727307,9.026368288258483e-05
TMEM168,-0.36600642096242986,-4.333964871649749,9.114487349612106e-05
CASQ1,-0.34277992179024075,-4.333785299170281,9.119598874238549e-05
CEPT1,-0.35715438538348654,-4.332803293492861,9.147601274309906e-05
GPRASP2,-0.33390334970423685,-4.332754457613169,9.148996048160277e-05
IVNS1ABP,-0.35430818000333986,-4.33173624947433,9.178123948160118e-05
ACAD9,-0.32646990872689274,-4.329484974181139,9.242848638627791e-05
SLF2,-0.3219745931935266,-4.328220826589341,9.279388714242327e-05
NEDD4L,-0.35400112414976914,-4.3263517762571695,9.333672495188733e-05
SIN3B,-0.317741799314861,-4.326006317264674,9.343739793955307e-05
FOXP1,-0.36523448094221045,-4.325895335491398,9.346976256887246e-05
PTPN20,-0.3192500235607866,-4.325850840557689,9.348274131066109e-05
FAM206A,-0.31166475952764994,-4.325802634470287,9.34968045495922e-05
MEOX1,-0.3891242433292671,-4.3257018126365425,9.352622415489236e-05
OR6A2,0.3233688393053127,4.323954525387433,9.40375196233136e-05
KREMEN1,0.29664162015166073,4.323802908638871,9.408201478297702e-05
ZNF385B,-0.3891879857901577,-4.323296592657046,9.423075323894174e-05
CREBBP,-0.3751897436133532,-4.323259551160466,9.424164379821192e-05
ODF1,0.3030906328448606,4.322005117432665,9.461118717708631e-05
FEM1A,-0.3486174450293804,-4.320943022224164,9.492517730352821e-05
ACTA1,-0.33922727579467615,-4.320902966959671,9.49370388736949e-05
WWP1,-0.36950279166897537,-4.320188059944855,9.514898837248469e-05
BBS10,-0.3275857688684626,-4.319518323526867,9.534796590631624e-05
CRNN,0.31586726507832624,4.318553331504003,9.563537919234239e-05
SAC3D1,-0.38714284046887726,-4.318289310567952,9.571416272273169e-05
MYL2,-0.34885600247580273,-4.317223184938497,9.603293949360377e-05
ETHE1,-0.360164818281823,-4.316662152402457,9.620110770018783e-05
HEXB,-0.36694778529081895,-4.316573059248007,9.622783965378866e-05
RAP1GDS1,-0.33528491676934247,-4.316307796311664,9.630747348771534e-05
SMYD3,-0.34649835527638706,-4.3160075856065365,9.639767664080973e-05
HLA-C,-0.4519096760587312,-4.315457664433952,9.65631236830995e-05
HPRT1,-0.3668173499007924,-4.312495715574265,9.745903076557923e-05
COPS7B,-0.31037977071590406,-4.310107421509314,9.81873382993863e-05
PHKG1,-0.3448732574786221,-4.309903233022345,9.82498517344216e-05
IRAK1,-0.3946100237753807,-4.30938553424044,9.840852256465281e-05
DDOST,-0.3542778963958101,-4.308549938510794,9.866515521459621e-05
GLYATL3,0.32279380684490894,4.30854582139464,9.866642130418576e-05
NOP16,-0.35756056975913597,-4.30715497817106,9.909504183905698e-05
NECAB3,-0.3801014954773938,-4.306814441932599,9.92002631119738e-05
AP4B1,-0.31457191396106965,-4.306714374897493,9.923120328808939e-05
DENND4B,-0.3287259773501372,-4.306278797543926,9.936599137263783e-05
DAZAP1,-0.3034272370956307,-4.306278084653164,9.936621212118235e-05
ACVR1B,-0.3139229682776006,-4.305413283280733,9.96343536174751e-05
KRAS,-0.3786899460566795,-4.304713388122883,9.985188195623105e-05
MIEF2,-0.35226004423046575,-4.301935097129376,0.00010071996795508994
ATP2B3,0.32372692992772856,4.301815299575468,0.00010075756456347642
SAP18,-0.33448407019904525,-4.29982678150486,0.00010138363803482503
FAM126B,-0.31056963151800365,-4.29948214955276,0.00010149252944524433
DRAM2,-0.35142176450140505,-4.298305639786991,0.00010186512673689688
UROD,-0.3245474660016443,-4.297438835048067,0.00010214049658391871
GALK2,-0.29090114361006747,-4.296836116416465,0.00010233239935309677
GMEB2,-0.3171138749374963,-4.296270028868736,0.00010251295993072426
WDR20,-0.34021413386586474,-4.295118032542498,0.00010288136565536582
HBQ1,0.32761744499053536,4.294133992603558,0.00010319708405789943
ASCC2,-0.3180486990585618,-4.293755423836167,0.0001033187957929652
STX7,-0.34201859543602153,-4.293298306528906,0.00010346594830466075
KRTAP4-2,0.30933276572449564,4.291717440925863,0.0001039764324024933
PTPN23,-0.3704516806537109,-4.291094588494349,0.00010417823574880487
HACD1,-0.4343968906876443,-4.29023812175801,0.00010445635512599082
NPEPPS,-0.3511907108451161,-4.290173879814099,0.00010447724556893886
ZNF432,-0.3386101736840639,-4.289004160706818,0.00010485833426246274
GAPDH,-0.31969046387639155,-4.287649478412675,0.00010530138121352392
FBXO31,-0.3564217259024216,-4.287591461131874,0.0001053203964874174
SERTAD1,-0.35059677153904445,-4.2869652768358675,0.00010552584329900683
SCNN1A,0.3062044160933921,4.2859080860628795,0.0001058735896848068
NRN1,-0.39060281491554394,-4.2850326119790445,0.00010616241081660035
METAP1,-0.29265317615331266,-4.2846075901769956,0.00010630290413168825
PLCB4,-0.3552075640417378,-4.284302038877988,0.0001064040180724281
ARSG,-0.4256846975041467,-4.282862305285035,0.00010688172536265673
NDUFB5,-0.3321313759172164,-4.2826285499345875,0.00010695948352259798
TPR,-0.29890985122765,-4.281899334724208,0.00010720241065657092
UBE2E1,-0.310648707462178,-4.2812744239083145,0.0001074110193298224
RPL18,-0.32761629257202407,-4.280421341504725,0.00010769643716740234
EXOSC7,-0.37516298825387806,-4.279613222270759,0.00010796749514045542
