,SCENIC__FAP__ATF3,SCENIC__FAP__CEBPB,SCENIC__FAP__EGR1,SCENIC__FAP__FOS,SCENIC__FAP__FOSL2,SCENIC__FAP__IRF1,SCENIC__FAP__JUNB,SCENIC__FAP__KLF10,SCENIC__MuSC__ATF3,SCENIC__MuSC__CEBPB,SCENIC__MuSC__EGR1,SCENIC__MuSC__FOS,SCENIC__MuSC__FOSL2,SCENIC__MuSC__IRF1,SCENIC__MuSC__JUNB,SCENIC__MuSC__KLF10,SCENIC__Vascular__ATF3,SCENIC__Vascular__CEBPB,SCENIC__Vascular__EGR1,SCENIC__Vascular__FOS,SCENIC__Vascular__FOSL2,SCENIC__Vascular__IRF1,SCENIC__Vascular__JUNB,SCENIC__Vascular__KLF10,CollecTRI__ATF3,CollecTRI__CEBPB,CollecTRI__EGR1,CollecTRI__FOS,CollecTRI__FOSL2,CollecTRI__IRF1,CollecTRI__JUNB,CollecTRI__KLF10
GTEX-117YX-2526-SM-5EQ4Q,-3.0926180030614345,5.031492992046242,3.6170964184533116,9.704064272094477,0.9452120897634658,3.3426713549461025,-0.6450705491702005,4.9377308129230295,3.0899955008668014,6.593646535491844,7.938817852684148,4.259981578659744,3.0504568170119906,3.856418348511521,-2.8024641243779764,2.4970807915895956,-0.5830937236435666,4.4765979564910765,-6.157210733469542,3.932519302643331,4.661013849863125,3.218186924159244,3.0537549814377236,2.0674009007715424,3.9124996514984307,11.370077116904183,8.989348557612018,6.155931424303384,-1.6117480956368095,2.408836478334243,3.2905414328767,2.7583530902431934
GTEX-1192X-0426-SM-5GIEE,-3.0270375817051667,4.869781807107432,5.101644736959808,10.131918616282935,1.0197575464467534,2.9576767027495583,-0.5797659424508484,4.9036720760888315,3.2132403254798887,6.521585376591375,7.566095033316674,4.582603782497844,2.7232925964677817,3.999766231833372,-3.6444707996551906,2.6858085676061716,-0.8558040338141005,4.135047218057377,-7.723378379824995,3.9770518352560256,4.3960607847072914,3.0135561141942078,3.8710382351422115,2.0058716117736606,3.1243431511539552,11.945578874892508,8.253931266177755,5.853389619580166,-1.4829311046059983,2.9067469256104,3.71463097386739,2.9876024697514265
GTEX-11DXW-0726-SM-5H12J,-3.29609843634485,3.501132716870858,5.102679505726615,11.801736589158992,0.7326628516136275,2.589322618911002,0.4411606753592446,4.445670321286304,2.611385947485403,5.290676312270201,8.77514488946785,3.765383970952229,2.4673594846877775,2.922568086833857,-5.151583890232939,2.7511890035089612,-0.7825402206203901,4.097172618909212,-6.902339191474088,3.646628194968917,3.9086382196521714,3.0160157916329817,3.0580772552836977,1.6822250994626127,4.085258036733759,10.234073233103995,9.031052718983155,6.065087670083751,-1.1575987622642048,2.8879793333825865,3.6643736748411087,2.778558947511485
GTEX-11DXX-2726-SM-5PNXO,-3.3609048360740656,5.241097113013478,4.162578953874728,9.897524633325872,0.5675160748864461,3.1068402418396026,0.2393042504271564,5.146122324752626,2.9289731766014038,6.838277031582614,8.523241290993402,4.561518824603305,2.8255817031595942,3.6623107066308003,-3.6212172660159805,2.736493274500686,-0.6471255127602643,5.1627842348234125,-6.514449561844021,4.561433108873625,4.75768371827301,3.0948817686089365,2.749281751885014,2.7988491321271756,3.0646312439814403,13.311601445499615,9.97776475967468,5.9429099905327325,-0.772643088213738,2.4122462547018513,3.6142232726769237,2.813379009309331
GTEX-11DXY-2726-SM-5GID2,-3.1979687368421175,3.8373262201465663,5.045626967863782,10.42892822160974,0.8756509322839986,2.318382969397453,1.1941736084547085,4.414771958388707,2.9312218988202963,5.900087553574023,8.968223862858368,4.290126702110413,2.6700437566605273,3.5192077975663967,-5.1629858630088865,3.075420278058704,-0.822146907256648,4.4478606901221935,-6.70717725397951,4.946608602994946,3.887868592444496,2.8586666482177887,3.0068945887646747,1.5470598719471873,3.8502025197078775,11.144610987921082,8.811031962294107,6.545652286575457,-1.5660038878557436,2.8701155714439652,3.447438575172983,2.606956794059122
GTEX-11DXZ-2426-SM-5N9DT,-3.265597960155947,3.7771441511402735,5.130281463350575,10.207633074448328,0.8929372600834035,2.870679446335301,0.16992275836039217,4.260632362008926,3.0712857486567846,5.941920748192028,8.19607876644579,4.68536967048223,2.807772037315909,3.002017158232537,-5.146593937435667,2.3998060023086865,-0.7186431587359258,3.6128028204938616,-6.676986110935562,4.249533180949805,4.214782335163268,3.304905202770835,3.213798954669286,1.6162787427612022,3.82056102203774,10.631419173679676,8.194100483235083,6.208926726646491,-1.584540010130052,3.195785387319924,3.15870193238037,2.7257562533087256
GTEX-11DZ1-0926-SM-5EQ5R,-3.6994076595451046,5.429778918120403,3.138086117233104,9.828364553429347,0.7197004823674741,3.01794180591412,0.29375565459390945,4.910557512959414,2.654255181275473,7.376681221681523,8.399290911368775,5.499101167946278,2.750614060617722,4.095596915671275,-2.7923335978567523,2.3490794737574126,-0.44520285036058604,4.993167413644648,-5.753779840314671,3.197583679211047,5.695209708201432,2.990098943607916,4.098592731779191,1.891868437495191,3.171658407336443,12.949513466006755,8.965958924729291,6.146378096693383,-1.1617769471820676,3.1049484818410185,3.237967643481675,2.8604611306997705
GTEX-11EI6-0326-SM-5EQ6G,-3.14461111470833,3.8690428382435886,4.380487859316905,10.211045218544724,0.48958433699481013,3.0415218754317084,-0.5241948514818873,4.423067796381567,2.6921039801427713,6.414909426375411,7.723587747499152,4.299562901183266,2.911304554719272,3.912877049014343,-3.727572294382661,3.0953838031541636,-0.5815853328453479,4.869422209490757,-5.856112821043486,3.4520796411683077,4.414286823879231,3.039348867380629,3.6444620785403057,1.4384533867044957,3.4146162647344083,11.519526664898313,8.565176125254327,5.482237274703842,-0.7685188826197542,2.789019903494006,3.4313727081173018,3.0583462242956965
GTEX-11EM3-2126-SM-5H11M,-3.732712566610596,5.455495094355648,5.006874521564448,9.28397991475157,0.7985260099374436,2.6640180167878453,0.042128593364840414,4.562148630262317,3.32148100393541,7.258561146608206,9.448853396186426,4.783984553725805,2.841883855852628,3.846092892128022,-3.7842757643875404,2.629977193339209,-0.6041722075917016,4.500038075730219,-6.162645471378736,4.751569526504338,5.064343411938735,2.698263364827934,2.791605167508392,2.450033286537334,3.728190889834784,11.715869203629877,9.62718068680714,6.209401370796023,-1.278754805410755,2.744333001615933,4.177298101346995,2.603152119766037
GTEX-11EMC-2626-SM-59864,-3.3776660211306706,4.808513715202614,5.03685432134935,10.141170944616121,0.9513798753820076,2.8103840015588983,-0.008486994515836507,4.674297809268413,3.2014579706925366,6.696955975409304,8.538773926495484,4.256122414770594,2.1965233060748153,3.7422251261507684,-3.7905379180510574,2.374646972904998,-0.9449313113036865,4.317535858979658,-6.660795550616449,3.7203525419419123,4.711387690177282,2.769611717896744,3.252780253093884,1.668169853990543,3.282489928997461,11.901049445916405,9.103865303928584,5.576620439423343,-1.5577956473510897,2.608796226399866,3.252371062389498,3.019891075740041
GTEX-11EQ8-0526-SM-5N9BC,-3.2333098568976637,4.240850099441442,4.102433033245222,9.968073515059636,0.24293630151211987,3.9371392768444204,0.7427768791371746,4.719995088018236,2.378500900042624,6.52874991539494,8.150744314891028,5.049012469452087,2.8984380713468174,3.6160099816503766,-4.049839718699509,2.7814144613247183,-0.42112242467996797,4.451926911754025,-5.929938462950171,3.752143927274287,3.993763911866387,2.8950543496309,4.3150306231004345,2.0395938245270044,3.5497487477393244,11.999826273162094,9.25338704101922,5.871979478931404,-0.9526005687250297,3.8203858502137247,4.162498832309554,2.8754585698764505
GTEX-11EQ9-2126-SM-5PNVW,-3.3408821543092877,5.024802442291399,4.480214509930004,9.930895034413169,0.9297843760385707,2.9618743487079566,-0.3594883652009873,5.346238306076138,3.1764010208838425,6.452272903688704,7.819116078517672,4.144332217692004,2.886363387727322,3.3270690152130036,-3.079897285585169,2.8297001290303427,-0.7999634466695853,4.361464589973119,-6.974930507569021,3.7523550179066345,4.446735329230271,2.9340089660551256,3.0573732254718213,2.07511714242179,3.603588093233469,12.286113679876186,8.692267111082915,5.986385752706689,-1.9079902136191902,2.190135193498683,3.534709908900373,2.999856952894451
GTEX-11GS4-2526-SM-5A5KT,-3.6313620218873957,3.921740775491046,4.925758642985701,10.580960985854677,0.6365169226961461,2.2074547470179833,0.8196519139365248,3.9991106150898483,2.261367962782261,5.485470966347823,9.674562985289011,3.517746459672236,2.530594903667683,2.613829845648213,-5.204260166063099,2.688050027191005,-0.8044969892006245,4.370650222991991,-5.9520346247680305,4.529536788878489,3.645479091823392,3.0492402067792668,2.492939062820439,1.5319122800781795,4.0834196405863254,10.918209372668077,8.665140457673267,6.256104718663188,-1.990203121394509,2.8268476160158085,3.6023727004971926,2.789234926828393
GTEX-11GSO-2526-SM-5PNVX,-3.3391323648794633,4.228809464240266,4.659659454462095,10.357134283340509,0.40355806921141446,3.0080613600854473,0.22954782242204635,4.997237649195501,2.6107033756304214,5.725441798601675,8.365776559184706,4.317328401327549,2.8624741189840703,3.3097922900796104,-4.637686959099338,2.7096797268999073,-0.7879470417323658,4.382565291908942,-7.103153046327087,4.042954310127738,4.0429111249977625,2.4010210180909204,3.1535330474319445,1.4502131176365478,3.7557809515833678,10.408497982648196,8.103853594480944,5.6905082952046975,-1.5453568428492197,2.535724368307117,3.476270391228853,2.6753088266723455
GTEX-11GSP-2726-SM-5A5LJ,-3.529546672947732,4.106065604459618,4.660377957024207,11.027147977220492,0.5985126884008022,2.516946940945229,0.935988569809247,4.98119118863542,2.6217104156741446,5.675294417544552,9.269449337830777,4.267361226727431,2.6414629271741887,3.6616779713857763,-4.959238791407931,3.409044693124793,-0.5452276801401413,4.776731081289222,-6.039355884562861,4.596422663906622,4.6531202804574745,3.140847449877113,3.2144941402564307,1.3313274510369506,3.676362209868026,12.58692600108356,9.700003622755212,6.750258865274104,-1.1306936024893586,3.1722557343978184,3.8055437510237144,2.7944038381912533
GTEX-11H98-0326-SM-5HL4S,-3.1916914958528397,5.096000275530485,3.422630239611682,10.640439975788626,0.6264497602952425,2.8570727590925125,0.901359443616507,5.403826638231122,2.741901127181616,6.227387536541652,8.550696776227243,3.5145468928213415,2.4532648633654937,3.3570855832010613,-2.908403639307679,2.735178795649101,-0.9016993675685915,4.5101022466554985,-6.82863311347992,4.247783421289011,5.116105671740058,2.8681805949690187,3.058891525699469,1.7161440995122084,3.964597904597418,12.864194072315799,8.67815154554454,6.7294955850175135,-2.5393135858827014,2.6505547322011798,2.862987348619917,3.2781123980641778
