Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	Presynaptic Endosome (GO:0098830) CC	0.5239588766265839	0.9520089624817689	0.566193853427896	1.0	1.0	1/5	7.25%	AP3D1
prerank	Spine Apparatus (GO:0097444) CC	0.5187594284129435	0.9489334364379463	0.5567251461988304	1.0	1.0	3/5	33.33%	OPRD1;OPRM1;PPFIA1
prerank	Regulation Of Synapse Maturation (GO:0090128) BP	0.42855524187801286	0.9472516085709056	0.5672097759674134	1.0	1.0	8/14	38.08%	YWHAZ;EXOC2;NRG2;C1QL2;CNTNAP1;ADGRB3;NEFL;PAK2
prerank	Synaptic Vesicle Docking (GO:0016081) BP	0.5219143790474299	0.9363532263377359	0.5845238095238096	1.0	1.0	3/5	29.29%	RIMS1;CTBP2;RIMS2
prerank	Postsynapse (GO:0098794) CC	0.3635384252344249	0.9310602321669038	0.736	1.0	1.0	30/139	19.99%	TAOK2;PURA;NCS1;BCL11A;CAPRIN1;EIF4EBP2;PPP1CC;EPN1;ARF6;RGS7BP;SIPA1L1;AP3D1;HIP1R;LRFN2;CPLX1;NTRK2;ABL2;WASL;MYO9A;SPTAN1;SEPTIN11;STX3;CAMKV;PUM2;SH3GL2;ATAD1;NGDN;CPEB3;TRIO;CALD1
prerank	Synaptic Signaling Via Neuropeptide (GO:0099538) BP	0.4654392926291572	0.9295596927157098	0.5834230355220668	1.0	1.0	4/8	38.57%	VGF;NPPA;PENK;CCK
prerank	Postsynaptic Ribosome CC	0.37365384565917487	0.9287410023627967	0.684	1.0	1.0	30/67	42.43%	RPL13;RPS27;RPS13;RPS16;RPS18;UBA52;RPS24;RPL38;RPL5;RPL15;RPL23A;RPL34;RPL18;RPL36;RPL32;RPLP0;RPS9;RPS2;RPL22;RPS3;RPLP2;RPL37;RPS15A;RPL10A;RPL14;RPL11;RPL6;RPL27A;RPL9;RPL17
prerank	Modulation Of Chemical Synaptic Transmission (GO:0050804) BP	0.37139383748329086	0.9272848979464154	0.709	1.0	1.0	28/86	32.59%	ADCY8;ARHGAP44;DGKB;AKAP7;PLCG1;VGF;P2RX3;SYNGAP1;TUBB2B;LRFN2;MAPK3;PTPRA;PCDH8;STX3;CAMKV;CBLN2;GPER1;TRIO;BAIAP3;WNT5A;AKAP12;CDH2;LRRC4;PTPRS;MAPK9;EPHA7;SYNPR;NCAN
prerank	Regulation Of Modification Of Postsynaptic Structure (GO:0099159) BP	0.4558638092586802	0.926783335399145	0.6065400843881856	1.0	1.0	3/9	19.74%	GSK3B;CAMKV;EGLN1
prerank	Integral Component Of Postsynaptic Specialization Membrane (GO:0099060) CC	0.3914607272700241	0.9244848240853838	0.648	0.9945293420920432	1.0	9/35	22.58%	CDH10;GLRA1;GABRB1;CHRNA1;GABRA6;GABRA2;GABRA4;KCND2;CHRNE
prerank	Postsynaptic Neurotransmitter Receptor Endocytosis (GO:0098884) BP	0.4626697745323344	0.9241014568105325	0.6027987082884823	0.9812042881211259	1.0	3/8	29.80%	RAB5A;AP2B1;EPS15
prerank	Synaptic Vesicle (GO:0008021) CC	0.4071891264233446	0.9217366411637706	0.6202020202020202	0.9735463758901931	1.0	8/18	38.67%	VPS45;DMXL2;SYNGR3;PDYN;SEC22B;DGKI;VPS33B;STXBP5
prerank	Regulation Of Synaptic Vesicle Endocytosis (GO:1900242) BP	0.42415061657022635	0.9174243843605111	0.6229508196721312	0.9707005936141724	1.0	9/14	46.11%	VPS29;SYT7;SYT11;PPP3CB;PPP3CC;PRKN;DGKQ;LRRK2;SCAMP5
prerank	Postsynaptic Cytosol (GO:0099524) CC	0.39125486199145637	0.9038650717753062	0.6807228915662651	0.9913223133721023	1.0	9/24	35.20%	EIF4EBP1;NCS1;FBXO45;MTOR;CAMK2A;CALB1;PRKCD;HOMER1;PIN1
prerank	Integral Component Of Postsynaptic Density Membrane (GO:0099061) CC	0.3567469616696244	0.8983048724749391	0.769	0.9907355315617221	1.0	33/79	40.99%	GRIN2A;CHRM4;LRRTM4;PTPRF;GRIA1;SLITRK1;CNIH2;LRFN2;GRIA4;NPTN;SORCS3;LRRC7;GRIN3B;NETO2;OPRD1;EFNB3;LRFN1;LRFN4;ADRA2C;LRRC4;ADGRB3;EPHA7;SLC30A1;CACNG3;LRFN3;SHISA9;GRID2;GSG1L;LRRTM3;SHISA6;SCN8A;SEMA4F;LRRC4B
prerank	Structural Constituent Of Postsynapse (GO:0099186) BP	0.4875883871992532	0.8972276083485132	0.6219369894982497	0.9800777641726279	1.0	4/5	46.81%	ACTN1;SPTBN2;HOMER1;SEPTIN7
prerank	Synaptic Membrane (GO:0097060) CC	0.48819002844864345	0.8965236295733108	0.6351829988193625	0.9686477746211892	1.0	2/5	28.12%	NPTN;CDH8
prerank	Integral Component Of Postsynaptic Membrane (GO:0099055) CC	0.3534927476899151	0.8920696825082023	0.798	0.9661819229206151	1.0	24/92	31.01%	CACNA1C;HCN1;PRRT1;P2RX1;SLC6A11;ABHD6;GRIA1;OPRK1;PCDH8;GRIK2;GPER1;SLC1A6;KCNA3;KCNA2;KCND2;GRM3;SLC8A1;FLRT3;ADRA1A;ADRA2C;CDH2;DRD2;NRP1;OPRM1
prerank	Presynaptic Endocytic Zone (GO:0098833) CC	-0.36666846856586843	-0.8915025414461465	0.5620915032679739	1.0	0.9769076305220884	5/5	63.35%	PACSIN1;VPS35;ITSN1;MYO6;AMPH
prerank	Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane (GO:0098967) BP	0.4942434587309846	0.889401233124838	0.6341463414634146	0.9594038536488753	1.0	2/5	41.48%	STX3;SNAP23
prerank	Synapse Organization (GO:0050808) BP	0.47238190384373224	0.8884874642256184	0.6503340757238307	0.949195195236491	1.0	4/6	41.42%	PTPRS;CD2AP;ADGRL3;APBB1
prerank	Regulation Of Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane (GO:0031630) BP	0.4506091869449087	0.8777774935365961	0.6549835706462213	0.9589137259595466	1.0	2/7	10.66%	CPLX3;CPLX1
prerank	Extrinsic Component Of Presynaptic Membrane (GO:0098888) CC	0.47122417229296054	0.8622392336445728	0.6939252336448598	0.9794571329232239	1.0	3/5	38.67%	CYTH1;SNAP25;STXBP5
prerank	Regulation Of Postsynaptic Density Assembly (GO:0099151) BP	0.3937822144328236	0.8613494082937403	0.7030612244897959	0.9691674568905991	1.0	8/14	40.99%	SIPA1L1;NRXN1;PTK2B;LRFN1;LRFN4;PTPRS;GRID2;LRRC4B
prerank	Regulation Of Postsynapse Assembly (GO:0150052) BP	0.43666675114398307	0.8605924786499604	0.6889140271493213	0.9588572945978854	1.0	4/7	38.09%	LZTS3;LZTS1;ARHGEF15;NUMB
