permutation_id	density	edge_count	mean_degree
176	0.002584190474244916	253	1.142212189616253
177	0.0025637620910493038	251	1.1331828442437923
178	0.002543333707853692	249	1.1241534988713318
179	0.002379906642288796	233	1.0519187358916477
180	0.0030029723297549616	294	1.327313769751693
181	0.0030234007129505735	296	1.3363431151241536
182	0.0029110446053747076	285	1.2866817155756207
183	0.002655689815429558	260	1.1738148984198646
184	0.0028293310725922595	277	1.2505643340857788
185	0.0028293310725922595	277	1.2505643340857788
186	0.002339049875897572	229	1.0338600451467268
187	0.0025637620910493038	251	1.1331828442437923
188	0.0029314729885703194	287	1.2957110609480813
189	0.002430977600277826	238	1.074492099322799
190	0.0027782601146032295	272	1.2279909706546275
191	0.002482048558266856	243	1.0970654627539504
192	0.002839545264190066	278	1.255079006772009
193	0.00262504724063614	257	1.1602708803611739
194	0.0028191168809944536	276	1.2460496613995484
195	0.0030438290961461857	298	1.345372460496614
196	0.0029314729885703194	287	1.2957110609480813
197	0.002604618857440528	255	1.1512415349887133
198	0.002512691133060274	246	1.110609480812641
199	0.0022675505347129303	222	1.002257336343115
200	0.0026148330490383337	256	1.1557562076749435
201	0.00247183436666905	242	1.09255079006772
202	0.0023696924506909902	232	1.0474040632054176
203	0.0025637620910493038	251	1.1331828442437923
204	0.002461620175071244	241	1.0880361173814899
205	0.002645475623831752	259	1.1693002257336342
206	0.0029723297549615435	291	1.3137697516930023
207	0.0026761181986251696	262	1.182844243792325
208	0.002737403348212006	268	1.2099322799097065
209	0.0029416871801681258	288	1.3002257336343115
210	0.0029723297549615435	291	1.3137697516930023
211	0.002890616222179096	283	1.2776523702031604
212	0.0030029723297549616	294	1.327313769751693
213	0.002635261432233946	258	1.164785553047404
214	0.002543333707853692	249	1.1241534988713318
215	0.0032583271197001115	319	1.440180586907449
216	0.0031051142457330216	304	1.3724604966139955
217	0.0029212587969725135	286	1.2911963882618511
218	0.002839545264190066	278	1.255079006772009
219	0.0027782601146032295	272	1.2279909706546275
220	0.002379906642288796	233	1.0519187358916477
221	0.0031459710121242456	308	1.3905191873589164
222	0.0026761181986251696	262	1.182844243792325
223	0.002839545264190066	278	1.255079006772009
224	0.0027680459230054236	271	1.2234762979683973
225	0.002277764726310736	223	1.0067720090293453
226	0.0027680459230054236	271	1.2234762979683973
227	0.002430977600277826	238	1.074492099322799
228	0.0026761181986251696	262	1.182844243792325
229	0.0028599736473856776	280	1.2641083521444696
230	0.002206265385126094	216	0.9751693002257337
231	0.002543333707853692	249	1.1241534988713318
232	0.0031561852037220515	309	1.3950338600451466
233	0.002594404665842722	254	1.146726862302483
234	0.002482048558266856	243	1.0970654627539504
235	0.002482048558266856	243	1.0970654627539504
236	0.0031561852037220515	309	1.3950338600451466
237	0.002655689815429558	260	1.1738148984198646
238	0.0029110446053747076	285	1.2866817155756207
239	0.002451405983473438	240	1.0835214446952597
240	0.002655689815429558	260	1.1738148984198646
241	0.002584190474244916	253	1.142212189616253
242	0.002737403348212006	268	1.2099322799097065
243	0.00247183436666905	242	1.09255079006772
244	0.00262504724063614	257	1.1602708803611739
245	0.0028497594557878717	279	1.2595936794582392
246	0.002737403348212006	268	1.2099322799097065
247	0.0028701878389834836	281	1.2686230248306998
248	0.0029008304137769017	284	1.2821670428893905
249	0.0028599736473856776	280	1.2641083521444696
250	0.002441191791875632	239	1.0790067720090293
251	0.002349264067495378	230	1.0383747178329572
252	0.0022675505347129303	222	1.002257336343115
253	0.0026659040070273637	261	1.1783295711060948
254	0.002594404665842722	254	1.146726862302483
255	0.0025637620910493038	251	1.1331828442437923
256	0.0023696924506909902	232	1.0474040632054176
257	0.00247183436666905	242	1.09255079006772
258	0.002512691133060274	246	1.110609480812641
259	0.002553547899451498	250	1.1286681715575622
260	0.00257397628264711	252	1.1376975169300225
261	0.0027271891566141996	267	1.2054176072234764
262	0.0029212587969725135	286	1.2911963882618511
263	0.002696546581820782	264	1.1918735891647856
264	0.0031357568205264393	307	1.3860045146726863
265	0.0030846858625374093	302	1.363431151241535
266	0.002584190474244916	253	1.142212189616253
267	0.0029008304137769017	284	1.2821670428893905
268	0.0030336149045483794	297	1.3408577878103838
269	0.0027680459230054236	271	1.2234762979683973
270	0.0028701878389834836	281	1.2686230248306998
271	0.00257397628264711	252	1.1376975169300225
272	0.002543333707853692	249	1.1241534988713318
273	0.002308407301104154	226	1.020316027088036
