gene,log2FC,padj,log2FC_tech,pvalue_tech,padj_tech,abs_age,abs_tech,tech_over_age,tech_dominates
MIGA1,0.8196700817193637,0.0320440428801485,-1.251218007306062,3.0562173140404067e-12,7.405068755774411e-11,0.8196700817193637,1.251218007306062,1.5264897855994337,True
CRAT,1.5809262452189563,0.036071782407738895,-2.224230358832056,1.877839062697649e-10,2.905146536135518e-09,1.5809262452189563,2.224230358832056,1.406915955477735,True
ANK3,1.7051440168942358,0.036071782407738895,-0.3546567407933866,0.3707241060794634,0.46746871892229125,1.7051440168942358,0.3546567407933866,0.2079922500853397,False
PTGIS,1.6352594041891066,0.036071782407738895,-2.037707662387115,1.603473012758419e-08,1.5939398091005864e-07,1.6352594041891066,2.037707662387115,1.2461066771223215,True
FAM27C,1.524674427406928,0.03646219741362041,-0.5365927899634497,0.09367016280424466,0.15059168135018286,1.524674427406928,0.5365927899634497,0.3519392601580218,False
AC064836.4,-3.0187813764679667,0.040870861239241475,1.641882376723962,0.029213881744273584,0.057973349257213466,3.0187813764679667,1.641882376723962,0.5438891300717499,False
ZC2HC1A,0.9963318013754459,0.04501850556456214,-1.7272935662604254,1.7125546556047187e-14,7.495977036459094e-13,0.9963318013754459,1.7272935662604254,1.7336529496256967,True
CNTN3,1.9494052083016793,0.048891883767874886,0.6956529361093519,0.11747024061263765,0.1814946568932786,1.9494052083016793,0.6956529361093519,0.3568539435243452,False
CRYBG1,2.501782867373655,0.048891883767874886,-0.6078296686227638,0.2513858022108535,0.34007007436122244,2.501782867373655,0.6078296686227638,0.24295860226305604,False
MOSPD2,1.2183058699727993,0.048891883767874886,-1.7766807396575912,1.3955477953991668e-10,2.2215701421851076e-09,1.2183058699727993,1.7766807396575912,1.4583207579039725,True
CORO6,1.1714273862718987,0.04893715671594549,-1.1639055038575241,2.374445315048685e-05,0.00011771214260735828,1.1714273862718987,1.1639055038575241,0.9935788743694023,False
RNF168,1.1226865898467255,0.05200359375803514,-0.9300783401450817,0.0003124387126884715,0.0011904511970079214,1.1226865898467255,0.9300783401450817,0.8284398767710055,False
MYH2,-3.3376902471241525,0.05564598693676136,0.8031992901593293,0.37202371931363953,0.46880004214042986,3.3376902471241525,0.8031992901593293,0.2406452458706701,False
RPL26P6,-2.2310444548762782,0.058627751896108846,-0.8925848322775743,0.11027406385567029,0.17213257603984305,2.2310444548762782,0.8925848322775743,0.40007487539152253,False
CPNE8,1.3033469002928733,0.06774694846703765,-0.33124459313127813,0.2848663468238627,0.3769608536121563,1.3033469002928733,0.33124459313127813,0.2541492161886023,False
C5orf64,-2.616845005065471,0.06805064611610269,2.875533496948645,5.782141878224571e-05,0.00026220177716454316,2.616845005065471,2.875533496948645,1.0988551065815615,True
FMN1,1.223728327395743,0.07024874655008845,0.5034361316379198,0.10032489050401718,0.15932073196139687,1.223728327395743,0.5034361316379198,0.41139534026257196,False
INF2,1.364700065347615,0.07024874655008845,-2.541375856414771,9.82533072255612e-15,4.640141714394529e-13,1.364700065347615,2.541375856414771,1.8622230048530368,True
MIR29B2CHG,1.1634558542509845,0.07024874655008845,0.11619997201826507,0.6822205511322827,0.7602605612327513,1.1634558542509845,0.11619997201826507,0.09987484406365627,False
COL16A1,2.0802539967060145,0.07140665654867188,-3.0761376977463772,2.762722931093366e-10,4.08400541362451e-09,2.0802539967060145,3.0761376977463772,1.478731781127352,True
LRRC75A,-2.4077793482704175,0.08062701021148116,-3.1808231828530453,3.905036981834528e-07,2.845687344721269e-06,2.4077793482704175,3.1808231828530453,1.32106091247021,True
AC005726.1,-1.4241890121429988,0.08062701021148116,1.2865324400876368,0.0005161763661926534,0.001860847944494447,1.4241890121429988,1.2865324400876368,0.903343888429368,False
RRM2B,1.9491185715427355,0.08530574091823578,-3.1300659366579295,1.4696065444301485e-11,2.990199438360935e-10,1.9491185715427355,3.1300659366579295,1.6058879035668256,True
DYNLRB1,1.5342601331547743,0.08627617594204158,-4.494928472124498,3.008352279486333e-32,2.024545875287315e-28,1.5342601331547743,4.494928472124498,2.9297042756901615,True
SETD1B,1.3330283732962829,0.08627617594204158,-1.255020600134749,7.334115292961202e-05,0.00032514336227144696,1.3330283732962829,1.255020600134749,0.9414807856125088,False
MIER1,1.0129976345883234,0.08655190963275969,-1.8300061800935865,1.4167706507964706e-13,4.858350210036967e-12,1.0129976345883234,1.8300061800935865,1.8065256202076827,True
MIR34AHG,2.5264120507521044,0.0906812782652124,1.2409258495766353,0.014361967839012738,0.03234416567040775,2.5264120507521044,1.2409258495766353,0.4911810997763472,False
AL136164.2,-2.75670699323558,0.09103729319459437,3.02192783874102,0.00014263617259254157,0.0005917126105746074,2.75670699323558,3.02192783874102,1.096209298324501,True
RAB8A,1.7117624404566398,0.09103729319459437,-3.88767371397727,1.092869612238276e-19,2.0288935925408383e-17,1.7117624404566398,3.88767371397727,2.2711525981024394,True
AC069272.1,-2.8380859431425725,0.09303832325558452,2.9163529693190737,0.00034109850809176025,0.0012843797369313324,2.8380859431425725,2.9163529693190737,1.0275773981988148,True
TMEM246,1.8779595292782503,0.09303832325558452,-2.0824235550793553,4.793926919778164e-06,2.7404484763964407e-05,1.8779595292782503,2.0824235550793553,1.1088756294336577,True
CXCL12,1.6830433908500388,0.09303832325558452,-3.957195022186902,6.641807361825412e-22,2.4551241049711394e-19,1.6830433908500388,3.957195022186902,2.3512139043475755,True
HS1BP3,1.4155281083898417,0.09497392146568831,-1.9991326870085904,1.295491036397079e-08,1.3194598262872862e-07,1.4155281083898417,1.9991326870085904,1.4122875237586041,True
TCIRG1,1.4038992467482136,0.09622325457284588,-0.7116728388542639,0.03941278895683213,0.07416657573778149,1.4038992467482136,0.7116728388542639,0.5069258641620319,False
