target,importance_Vascular,in_vascular,importance_MuSC,in_musc,importance_FAP,in_fap,in_sasp12
AC137735.1,6.47232678229631e-06,True,,False,,False,False
AC138904.3,,False,0.0901724429643846,True,0.1769965506025657,True,False
AC140481.1,5.836022088618501e-06,True,,False,,False,False
AC245748.2,,False,,False,0.1071347907064239,True,False
ACAA1,,False,,False,0.0585403355987763,True,False
ADAD1,,False,,False,0.2896939613525469,True,False
ADAMTS1,,False,,False,0.2657165850056772,True,False
ADAMTS9,0.0189827878402332,True,,False,,False,False
ADAMTSL2,,False,,False,0.0729230074503752,True,False
ADH4,,False,,False,0.3547800551417764,True,False
ADIPOQ,,False,,False,0.3542400490002457,True,False
ADNP,,False,0.2281112542679488,True,,False,False
ADRA1D,0.1107736544186842,True,,False,,False,False
AF064860.1,,False,,False,0.4075058451396576,True,False
AF064866.1,0.2536505718563534,True,,False,,False,False
AF121897.1,,False,,False,0.5839479810461953,True,False
AF130417.1,,False,,False,0.1807878230957386,True,False
AGMO,,False,,False,0.2192801777685541,True,False
AGO4,,False,,False,0.3628747734045208,True,False
AGR2,,False,,False,0.3830795173176843,True,False
AGR3,0.0512431059242326,True,,False,,False,False
AHCYL2,,False,,False,0.1062105531090113,True,False
AHRR,,False,,False,0.2564003456885129,True,False
AKAP7,,False,,False,0.2374129446797008,True,False
AL020994.2,,False,,False,0.2810205688977216,True,False
AL022098.1,,False,,False,0.2334838899350719,True,False
AL022100.1,,False,0.5001256189743511,True,,False,False
AL022331.1,,False,,False,0.706412713143221,True,False
AL031599.1,,False,,False,0.0002928281063945,True,False
AL031659.1,,False,,False,0.6157960503882856,True,False
AL031666.2,0.4283149665563492,True,,False,,False,False
AL031733.2,,False,,False,0.358912173663549,True,False
AL033530.1,,False,,False,0.1300864882162839,True,False
AL035588.1,,False,,False,0.1641698895560699,True,False
AL035665.2,,False,,False,0.0698439483793009,True,False
AL049825.1,,False,,False,0.3615060831325392,True,False
AL050343.2,,False,0.1589427803734386,True,,False,False
AL050403.1,0.0551775701780526,True,,False,,False,False
AL078604.1,,False,0.6302298436124362,True,,False,False
AL121757.2,,False,,False,0.324563191987252,True,False
AL133304.3,,False,,False,0.8876396354186136,True,False
AL133372.2,,False,,False,0.0001400942140911,True,False
AL135903.1,1.0379571805059324e-10,True,,False,,False,False
AL136181.1,,False,,False,0.627973604884359,True,False
AL136369.2,0.7162283909784438,True,,False,,False,False
AL136376.1,,False,0.0424743769801176,True,,False,False
AL137140.1,,False,,False,0.0645547148577326,True,False
AL137191.1,,False,,False,6.204812176845733e-06,True,False
AL137782.1,,False,,False,0.0785547588317426,True,False
AL137847.1,,False,,False,0.3514663807651413,True,False
AL138731.1,,False,,False,0.5168383553348683,True,False
AL138830.2,,False,,False,0.5492148993572153,True,False
AL138962.1,,False,,False,0.2773456782021277,True,False
AL139351.3,,False,0.636099426935702,True,,False,False
AL139353.1,,False,,False,0.0006898243593377,True,False
AL139385.1,0.1607211229191686,True,,False,,False,False
AL157703.1,,False,,False,0.471231809777641,True,False
AL158211.5,1.6700617375785347,True,,False,,False,False
AL158829.1,,False,,False,1.3961484864088805,True,False
AL158840.1,,False,,False,0.0460203854762155,True,False
AL160236.2,,False,,False,0.0872224350488499,True,False
AL353138.1,,False,,False,0.1655499968854788,True,False
AL353743.2,,False,0.0893409311803261,True,,False,False
AL354714.1,,False,,False,0.1967342870024156,True,False
AL354872.1,3.377221137076522e-07,True,,False,,False,False
AL355306.2,,False,0.1079133126611537,True,,False,False
AL355377.1,,False,,False,0.0064624347249261,True,False
AL355870.1,,False,,False,0.0065885792402685,True,False
AL356413.1,,False,,False,0.7664569596824761,True,False
AL356585.4,0.0370564849222195,True,,False,,False,False
AL357522.1,,False,,False,0.3259543389885815,True,False
AL357556.4,,False,,False,0.4440613188286857,True,False
AL358113.1,,False,,False,0.0520957682564297,True,False
AL358394.1,0.0061143133091399,True,,False,,False,False
AL359232.1,,False,,False,0.1885118729806833,True,False
AL359546.1,,False,0.1480194963743382,True,,False,False
AL359922.1,,False,,False,0.103176899682463,True,False
AL360081.1,,False,,False,0.3915836804875436,True,False
AL390839.2,,False,,False,0.5020065027217193,True,False
AL390961.2,,False,,False,0.3078173403267888,True,False
AL391987.3,,False,,False,0.0092979830559815,True,False
AL392003.2,,False,,False,0.4465936316812126,True,False
AL442125.2,,False,,False,0.0766320543258935,True,False
AL445207.1,,False,,False,0.0001025519970002,True,False
AL445524.2,,False,,False,0.4366486693979845,True,False
AL450163.1,,False,,False,0.381638179368532,True,False
AL451136.1,,False,,False,0.0990513711047278,True,False
AL512603.2,,False,,False,0.2928166003449486,True,False
AL513165.2,,False,,False,0.158681717617094,True,False
AL513412.1,,False,,False,0.0599363658606627,True,False
AL589669.1,,False,,False,0.2197936729231583,True,False
AL590556.2,,False,,False,0.4451934600266246,True,False
AL592156.2,,False,,False,0.1803771179799685,True,False
AL928654.3,,False,,False,0.0588582714955395,True,False
ALG11,2.4345686624933207,True,,False,,False,False
ALMS1,,False,,False,0.1257289580696818,True,False
ALX3,,False,,False,0.3690146902655952,True,False
AMD1P3,,False,,False,0.2439096710633019,True,False
AMER1,0.2897502391751272,True,,False,,False,False
ANKMY1,,False,,False,0.001265012684984,True,False
ANKRD2,,False,,False,0.5208513953012675,True,False
ANKRD36C,,False,,False,0.0553800579312522,True,False
ANKRD37,,False,0.1992195437470096,True,,False,False
ANKS6,0.2378743080657522,True,,False,,False,False
ANLN,,False,1.0037405813381544,True,,False,False
ANO4,,False,,False,0.4555117629563213,True,False
ANXA11,,False,0.1819317333262003,True,,False,False
AP000320.1,0.1594887171721258,True,,False,,False,False
AP000721.1,,False,0.362693714541514,True,,False,False
AP001021.1,,False,,False,1.1188446532179837,True,False
AP001122.1,0.0269478812952536,True,,False,,False,False
AP001496.4,,False,,False,0.3893234455296938,True,False
AP001599.1,,False,0.945477427606744,True,,False,False
AP001605.1,0.2396656269692737,True,,False,,False,False
AP002358.1,,False,,False,0.5138462070845309,True,False
AP002800.1,0.0057562702842863,True,,False,,False,False
AP003121.1,,False,,False,0.1581609389452276,True,False
