gene,log2FC,lfcSE,stat,pvalue,padj
F8A1,-10.792615394878126,2.640244613373245,-4.087733136623731,4.3560882957049993e-05,7.243296579248291e-05
F8A2,-12.850561227576405,2.75321832706301,-4.667469012994953,3.0493272008157547e-06,1.2553867703085629e-05
FA2H,-12.422693206599927,2.927054428636164,-4.244093681711336,2.194786543413545e-05,4.442755056897286e-05
FAAH,-11.319756277087315,2.2179032624488495,-5.103809741723746,3.328829533681426e-07,3.834459317427625e-06
FAAH2,-11.455810176714824,2.8779002374403864,-3.980614069827402,6.873746975251837e-05,0.00010453063597281275
FAAP100,-10.536494385963543,2.442237262585244,-4.314279594116944,1.6012419297311202e-05,3.5369807832162e-05
FAAP20,-14.168231186170381,3.2307729315408618,-4.385399867583107,1.1577290596023891e-05,2.8210164559164292e-05
FAAP24,-11.896926509657378,2.56233804574131,-4.642996473252412,3.4339221455835333e-06,1.3405856777697122e-05
FABP3,-13.057693052816482,3.1834404843727393,-4.101755040471364,4.10028229017108e-05,7.058211006108699e-05
FABP4,-11.59582534309326,2.886164794332649,-4.017728081869453,5.876194890076602e-05,9.177728604101015e-05
FABP5,-10.38085122144765,2.241260821345288,-4.631701550565935,3.626727002864804e-06,1.3817817673823005e-05
FABP5P2,-12.920057854113184,2.9011775325574307,-4.453384085986618,8.452734995492884e-06,2.293676945498782e-05
FABP5P7,-13.055983472338648,3.183236654376024,-4.101480628023829,4.1051487985344425e-05,7.058211006108699e-05
FABP6,-13.056847921996125,3.1855658036565813,-4.098753165609921,4.153817268552575e-05,7.065824217481677e-05
FADD,-9.095763744068298,2.1988523632229673,-4.136595933496956,3.524960229741376e-05,6.310420262621779e-05
FADS1,-10.258942365101365,2.5740473574124576,-3.985529767181165,6.732973540673088e-05,0.000102707221876759
FADS2,-10.835251808560107,2.6700940727925064,-4.058003768094997,4.949396951423981e-05,7.980157936278576e-05
FADS3,-22.891709097817277,3.057436827834235,-7.487222267167116,7.034651532918522e-14,5.039793546004507e-12
FAF1,-17.879890246162923,2.8120471144921972,-6.358318164022545,2.039746505239818e-10,9.762752882055865e-09
FAF2,-11.74408134713048,3.074193661487692,-3.8202151979739556,0.00013333528816655634,0.00018281114273271978
FAH,-11.382293005175116,3.175477338516621,-3.584435280678839,0.00033780831332987576,0.00040521604437424133
FAHD1,-10.871217307184828,2.8770753048372835,-3.7785654372365007,0.00015773440607339125,0.00021158672863041443
FAHD2A,-11.207726874105441,2.180507400730755,-5.139962776713983,2.747929005626145e-07,3.433176221314589e-06
FAHD2B,-11.337031300429922,2.5681690923001907,-4.414441141909339,1.0127126332882448e-05,2.5772033841066295e-05
FAHD2CP,-11.17262770505688,2.7983215957604766,-3.9926174754122887,6.534794038387329e-05,0.00010019043900518133
FAHD2P1,-12.6872367851056,2.7025456643697208,-4.694550383504613,2.6719375197320474e-06,1.1637166892884538e-05
FAIM,-11.159319091839668,2.843887776632562,-3.9239660522235456,8.710301489864362e-05,0.00012722217456755062
FAIM2,-9.98627317354987,2.5497766694023003,-3.9165285702809327,8.983317402359708e-05,0.0001305264891034089
FAM102A,-11.180039780254923,3.186505441009625,-3.5085581955612772,0.00045054265275343454,0.0005277232572270801
