Term,NES,pval,fdr,leading_edge
Coagulation,1.4031188444803344,0.03712035995500562,0.05514715500327011,C2;PECAM1;SERPING1;ANG;CTSB;MMP2;C1S;ANXA1;RABIF;APOC1;C3;CFB;TIMP1;GNG12;C1R;MMP11;COMP;LAMP2;PREP;USP11;PROS1;PEF1;LRP1;C1QA;SERPINE1;DPP4;CTSH
Allograft Rejection,1.4024018216663285,0.020518358531317494,0.053119063191005636,C2;IL4R;CD74;ACVR2A;EGFR;MAP3K7;HIF1A;MRPL3;CD47;CCND3;RPL39;TLR1;F2R;TIMP1;CTSS;BCL10;FAS;GBP2;CDKN2A;RPS19;HLA-E;CAPG;CSK;LY75;KLRD1;IRF7;ICOSLG;MTIF2;STAT1;NCK1;BCL3
Hypoxia,1.3935441901228371,0.014613778705636743,0.05631726024139366,RRAGD;FOS;MT1E;GPC3;MT2A;PKP1;STC2;LOX;NR3C1;BCL2;ZFP36;EGFR;SRPX;ENO2;RBPJ;ATP7A;AKAP12;TPBG;HDLBP;ISG20;GBE1;DUSP1;BTG1;LXN;GALK1;CCN1;NOCT;WSB1;VHL;CDKN1A;CCN5;NFIL3;SLC2A3;CDKN1C;IGFBP3;JUN;BNIP3L;PAM;PFKL;PDK3;FOSL2;TMEM45A;UGP2;ATF3;CDKN1B;SELENBP1;TIPARP;ZNF292;PGM2;S100A4;CASP6;SERPINE1;ILVBL;TGM2;BHLHE40;DCN;FOXO3
Unfolded Protein Response,1.392623264251562,0.026030368763557483,0.054278158500867285,EXOSC4;STC2;CEBPB;DCP2;EIF4E;WIPI1;CNOT4;CXXC1;CALR;ATF6;DCP1A;PARN;PAIP1;YIF1A;NHP2;TSPYL2;SPCS1;NABP1;ATF3;SLC30A5;ZBTB17;EIF4EBP1;NFYA;BANF1;SEC31A;LSM4;SRPRA
TGF-beta Signaling,1.3926200279740384,0.04716981132075472,0.05201656856333115,TGIF1;HDAC1;JUNB;LTBP2;BCAR3;MAP3K7;HIPK2;PPP1CA;ID1;CDKN1C;KLF10;SMAD1;SERPINE1;FKBP1A;ACVR1;WWTR1;ID3;TGFBR1;FNTA;CTNNB1;PPP1R15A;PPM1A;CDK9;TGFB1;TJP1;RHOA;SKIL;SMAD6;SPTBN1
Androgen Response,1.3588931146102274,0.04535398230088496,0.07467364290385872,PIAS1;SORD;ABHD2;ELL2;STEAP4;SAT1;ALDH1A3;APPBP2;UAP1;ZMIZ1;AKAP12;CCND3;CDC14B;B4GALT1;ANKH;INSIG1;MERTK;ABCC4;TNFAIP8;GUCY1A1;ADRM1;IQGAP2;FKBP5;ADAMTS1;SGK1;LMAN1;FADS1;CAMKK2;SRF;XRCC5
UV Response Dn,1.355060315498119,0.035940803382663845,0.07461890627358254,PTGFR;PRKAR2B;ANXA4;MT1E;TGFBR2;ACVR2A;SNAI2;NR3C1;PRDM2;CACNA1A;PIAS3;NRP1;ZMIZ1;TFPI;AMPH;DLC1;DUSP1;CELF2;CCN1;PDGFRB;ADGRL2;ID1;ATP2C1;INSIG1;SLC22A18;IGF1R;ERBB2;PRKCE;TENT4A;CDKN1B;MGMT;SRI;LPAR1;COL5A2;LAMC1;DAB2;SERPINE1;ATP2B4;IGFBP5;BHLHE40;PHF3;PEX14
Apical Surface,1.31725640556901,0.1159062885326757,0.10619383281253786,CRYBG1;ADAM10;SULF2;SRPX;B4GALT1;GAS1;EFNA5
Notch Signaling,1.298992387869668,0.14356435643564355,0.12220872652527327,JAG1;DLL1;RBX1;DTX4;SKP1;DTX2;HES1;NOTCH1;NOTCH3
Hedgehog Signaling,1.2959052722154305,0.14358322744599747,0.12174736699668479,TLE1;PML;NRP1;RASA1;PTCH1;ETS2;LDB1;HEY2;NF1;NRP2;AMOT;DPYSL2
Reactive Oxygen Species Pathway,1.295586707379055,0.11940298507462686,0.11835186396337476,JUNB;GPX3;TXNRD2;FES;HMOX2;OXSR1;NQO1;PTPA;SOD2;PRDX1;GCLC;GLRX2;G6PD;PRNP;PRDX2;GPX4;SBNO2;PRDX6;TXNRD1;TXN;PDLIM1;FTL;MGST1
mTORC1 Signaling,1.2906865788829465,0.043076923076923075,0.11885482816093167,SKAP2;SORD;BTG2;FDXR;ELOVL6;GGA2;CYB5B;SYTL2;GBE1;SLC9A3R1;IFRD1;CDKN1A;QDPR;CTSC;CALR;PSPH;HPRT1;TOMM40;NAMPT;NFIL3;SLC2A3;ATP6V1D;INSIG1;ETF1;PFKL;RPN1;TCEA1;SQSTM1;NUPR1;HSPD1;SERPINH1;PLOD2;EEF1E1;PRDX1;GCLC;SLC1A5;PSME3;G6PD;ACTR3;PSMD12;IGFBP5;BHLHE40;NUFIP1;PSMG1;M6PR;CANX;IMMT;RAB1A;CTH;PSMC6;UFM1;FADS1;NMT1;LTA4H;PGK1;ADD3;ME1;LDLR;ATP5MC1;ADIPOR2;DDX39A;PPP1R15A;TXNRD1;HMGCR;STIP1;GSK3B;HSPE1;SLC6A6;IDH1;COPS5;ARPC5L;GLA;PSAT1;YKT6;HSPA5;TBK1;GSR;SDF2L1
UV Response Up,1.277327566250758,0.07643312101910828,0.1299869195552649,FOS;BTG2;JUNB;FOSB;GPX3;AP2S1;NR4A1;POLG2;ENO2;NPTX2;TGFBRAP1;CYB5B;AMD1;NUP58;BTG1;BCL2L11;CCND3;SIGMAR1;EIF2S3;CDKN1C;IL6ST;CREG1;RRAD;MAOA;RPN1;SQSTM1;ATF3;CDKN2B;SOD2;PDLIM3;GRPEL1;IRF1;OLFM1;ARRB2;TMBIM6;PPIF;CYB5R1;MGAT1;CDC5L;DNAJA1;ALAS1;MARK2;HLA-F;SPR;APOM;IL6;PRKACA;PPAT;ATP6V1C1
IL-2/STAT5 Signaling,1.2554375493458325,0.08150470219435736,0.1533503775492003,RRAGD;ANXA4;P2RX4;IL4R;BCL2;ALCAM;TNFRSF4;SNX9;COL6A1;ECM1;NCS1;SERPINB6;NRP1;HIPK2;WLS;TNFSF10;NFKBIZ;PUS1;CCND3;PTCH1;PTH1R;NFIL3;SLC2A3;CDKN1C;CDC42SE2;GUCY1B1;IGF1R;AHNAK;SWAP70;RABGAP1L;GBP4;CAPG;MAP3K8;PLSCR1;SLC1A5;GSTO1;CD44;TTC39B;TGM2;PDCD2L;EMP1;BHLHE40;PRNP;PHLDA1;SLC39A8;PLIN2;ITGA6;GPX4
Xenobiotic Metabolism,1.2378991372718975,0.10822060353798127,0.17189243257800174,POR;MT2A;IGFBP4;PC;BLVRB;PGD;MAN1A1;IL1R1;PDK4;SLC35D1;UGDH;ETS2;NQO1;HPRT1;SLC46A3;PAPSS2;MAOA;CFB;FAS;JUP;TMEM176B;ABHD6;PTGES3;CROT;ALDH9A1;PROS1;GCLC;CASP6;SLC1A5;GSTO1;TMBIM6;SERPINE1;UPP1;PTGDS;HACL1;PEMT;NDRG2;ALAS1;SMOX;BPHL;DHPS;NMT1
Wnt-beta Catenin Signaling,1.2252653663549988,0.19110576923076922,0.18471082873960573,JAG1;NUMB;WNT5B;DLL1;RBPJ;MAML1;PTCH1;JAG2;HDAC5;HEY2;ADAM17;NOTCH1;NOTCH4;NCSTN;HDAC11
